decile3,decile1,lsat,ugpa,fam_inc,parttime,male,race1,tier,pass_bar
6,6,32.0,3.5,4,0,1,2,4,1
4,4,41.0,2.5,4,0,0,4,4,1
6,7,41.0,3.4,4,0,0,4,3,1
5,5,37.0,3.2,4,0,0,4,4,1
7,4,34.0,3.4,3,0,1,4,3,1
10,10,38.0,3.8,3,0,1,4,4,1
6,2,38.0,3.7,3,0,0,4,4,1
4,4,31.5,3.3,3,0,1,4,3,1
10,9,42.0,3.7,4,0,0,4,4,1
1,2,42.0,3.2,3,0,0,0,6,1
7,8,38.0,3.3,3,0,0,4,3,1
9,10,44.0,2.3,4,0,1,4,4,1
8,7,30.0,3.1,4,1,1,4,2,1
9,6,37.0,2.8,5,0,0,4,5,1
3,3,31.0,2.2,3,0,1,4,4,1
9,6,37.0,3.6,4,0,0,4,6,1
6,5,34.0,2.9,4,0,1,4,3,1
10,10,39.0,2.7,4,0,1,4,3,1
6,9,35.0,2.7,3,0,0,2,3,1
1,1,28.0,2.9,3,0,1,4,3,0
2,4,31.0,2.6,4,0,0,4,3,1
3,1,23.0,3.4,2,0,1,1,3,1
2,1,19.5,3.1,3,1,1,2,3,1
6,7,35.0,3.5,4,0,1,4,4,1
6,5,47.0,3.4,4,0,1,4,4,1
4,5,39.0,3.4,4,0,1,4,4,1
8,7,45.0,3.8,4,0,1,0,4,1
1,4,31.0,3.1,4,0,1,4,2,1
5,5,39.0,3.7,3,0,1,4,3,1
3,5,34.0,3.1,3,0,1,3,3,1
2,4,35.0,3.4,4,0,1,4,3,1
5,4,44.0,3.1,4,0,1,4,4,1
5,4,40.0,3.0,4,0,1,4,5,1
2,3,41.0,3.4,1,0,1,4,3,1
5,6,41.0,2.9,2,0,0,2,4,1
6,5,40.0,3.7,3,0,1,4,3,1
4,3,38.0,2.4,4,0,1,4,3,1
3,4,34.0,3.0,4,0,0,4,4,1
8,7,40.0,2.9,3,0,0,4,3,1
9,6,27.0,3.5,3,0,0,4,5,1
1,1,36.0,3.3,1,1,0,4,5,1
2,3,30.5,3.6,4,0,0,0,4,1
9,9,41.0,3.7,4,0,0,4,3,1
2,2,30.0,3.3,3,0,0,0,5,1
6,8,33.0,3.1,4,0,1,4,2,1
2,4,38.0,2.7,4,0,1,4,3,1
4,4,39.0,3.0,4,0,1,4,3,1
3,4,26.0,2.8,5,0,1,4,5,1
5,6,32.0,2.9,3,0,0,4,3,1
5,6,35.0,2.4,5,0,1,4,3,1
7,9,42.0,3.1,4,0,1,4,4,1
10,10,42.0,3.3,4,0,1,4,5,1
4,1,34.0,3.4,3,0,1,4,3,1
5,6,40.0,2.2,1,0,1,4,2,1
7,5,36.0,3.2,2,0,1,4,1,1
4,3,45.0,3.6,3,0,1,0,5,1
5,7,37.0,2.9,4,0,1,4,3,1
1,1,29.0,2.7,3,0,0,1,4,1
9,9,33.0,3.5,3,0,0,4,5,1
6,8,28.0,3.2,3,1,0,4,3,1
6,8,33.0,3.2,4,0,1,4,3,1
9,9,47.0,3.4,4,0,1,4,6,1
6,2,31.0,3.2,3,1,1,4,3,1
2,4,32.5,3.4,4,0,0,4,3,1
3,4,42.0,2.7,4,0,1,0,3,1
3,5,40.0,2.6,3,0,1,4,5,1
5,7,39.0,2.7,4,0,1,4,3,1
7,7,46.0,3.3,4,0,0,4,4,1
8,9,40.0,2.8,4,0,0,4,3,1
4,3,39.0,3.1,5,0,1,4,5,1
8,7,29.5,3.2,3,0,0,4,3,1
5,4,44.0,3.2,4,0,0,4,4,1
9,10,41.0,3.4,3,0,1,4,3,1
5,3,45.0,3.7,3,0,1,4,6,1
5,4,36.0,3.3,3,0,1,4,3,1
4,6,44.0,3.7,3,0,1,4,5,1
1,3,33.0,2.6,3,0,0,4,3,1
8,6,38.0,3.1,4,0,0,4,4,1
3,4,32.0,3.8,4,0,1,4,4,1
2,1,39.0,3.2,3,0,0,4,4,1
6,7,42.0,3.3,4,0,0,0,5,1
5,4,34.0,3.4,3,0,0,4,3,1
6,5,34.5,2.8,4,1,1,4,5,1
8,7,27.0,3.7,3,0,0,4,3,1
3,5,42.0,3.1,4,0,0,4,3,0
9,9,45.0,3.1,4,0,1,4,3,1
8,8,32.0,3.6,4,0,1,4,4,1
8,6,34.5,2.8,5,0,1,4,2,1
7,7,37.0,3.3,4,0,0,4,3,1
2,6,37.0,3.0,2,0,0,2,3,1
1,1,22.7,2.5,3,0,1,3,4,1
3,3,44.0,3.5,4,0,1,4,5,1
7,8,24.0,2.7,2,0,0,1,1,1
6,5,41.0,3.8,4,0,1,4,4,1
10,10,31.0,3.4,3,1,1,4,2,1
4,6,32.0,3.0,3,0,0,4,3,1
7,8,33.0,2.6,4,0,1,4,1,1
6,7,31.0,3.6,3,0,0,2,3,1
7,8,30.0,2.7,2,0,0,1,1,0
4,3,36.0,3.2,4,0,1,3,4,1
1,1,35.0,3.4,3,0,0,1,5,0
3,5,35.0,3.2,4,0,1,4,4,1
6,4,36.0,3.3,3,0,0,4,3,1
2,2,40.0,3.0,3,0,1,2,5,1
5,1,34.0,3.3,3,1,1,4,5,1
10,8,45.0,3.4,2,0,0,4,6,1
5,6,26.5,3.0,4,0,1,4,3,1
4,5,45.0,3.7,4,0,1,4,5,1
9,10,38.0,2.4,3,0,0,4,3,1
3,7,46.0,2.9,3,0,0,4,4,1
10,8,37.5,3.4,4,1,1,4,4,1
4,2,37.0,3.0,3,0,1,4,4,1
5,3,44.0,3.1,4,0,1,4,4,1
2,2,44.0,3.3,5,0,0,4,3,1
1,1,39.0,3.4,3,0,1,1,6,1
9,9,37.0,2.9,4,0,1,4,3,1
9,10,40.0,3.2,3,0,0,4,4,1
3,3,25.5,2.4,3,0,0,1,3,1
7,5,39.0,3.4,4,0,1,4,2,1
10,10,33.0,3.7,3,0,0,4,3,1
2,3,35.5,3.1,3,0,0,3,5,1
7,8,38.0,3.0,4,0,1,4,2,1
3,2,39.0,2.6,5,0,1,0,3,1
1,2,30.0,3.5,3,0,0,4,3,0
1,1,20.0,2.5,5,0,1,1,3,1
3,4,33.0,2.9,3,0,1,4,2,1
10,10,36.0,3.3,4,0,0,4,5,1
2,3,39.0,3.2,2,0,0,4,3,1
3,5,35.7,3.0,4,0,1,4,3,1
4,4,37.0,2.8,4,0,0,4,4,1
2,2,39.5,2.9,5,0,0,3,5,1
5,5,37.0,3.8,3,0,0,4,5,1
3,6,27.0,3.1,2,0,1,2,1,1
1,2,36.0,2.9,5,0,0,4,4,0
3,3,36.0,3.1,4,0,1,4,4,1
8,8,35.0,2.7,3,0,1,4,2,1
9,8,34.0,3.0,4,0,1,4,2,1
5,4,34.0,3.3,2,0,0,4,3,1
7,5,35.5,3.0,4,0,0,4,5,1
5,10,42.0,3.4,3,0,1,4,6,1
9,8,46.0,3.5,4,0,0,4,5,1
9,8,37.5,3.0,3,0,0,4,3,1
6,6,30.5,3.1,2,0,0,4,2,1
6,6,30.0,3.5,4,0,0,0,5,1
1,4,32.0,3.0,4,0,0,1,3,1
2,2,41.0,3.8,1,0,1,0,4,1
10,10,35.0,3.2,3,0,1,4,3,1
2,2,33.0,3.7,3,1,0,4,3,0
3,1,28.5,2.5,4,0,1,4,2,0
7,9,35.0,2.7,3,0,0,4,3,1
1,1,34.0,2.9,3,0,1,1,4,1
3,3,25.0,3.4,4,0,0,4,3,1
10,10,40.0,3.4,4,0,1,4,3,1
6,9,31.0,3.0,4,0,0,4,3,1
3,3,26.0,3.5,3,0,0,1,4,1
9,10,39.0,2.5,3,0,0,4,3,1
8,8,40.0,3.8,3,0,1,4,4,1
1,2,40.0,3.0,3,0,0,4,4,1
5,5,35.0,3.4,2,0,1,4,4,1
9,8,43.0,3.6,5,0,1,4,6,1
3,4,35.5,3.5,3,0,1,4,3,1
4,3,38.0,3.7,4,0,0,4,4,1
10,10,41.0,3.3,4,0,1,4,3,1
5,6,35.0,2.5,5,0,1,4,3,1
7,8,37.0,3.2,4,0,1,4,4,1
4,2,29.0,3.2,3,0,1,2,5,1
10,10,42.0,3.8,4,0,0,4,4,1
1,1,31.0,2.7,3,0,0,0,5,0
1,1,26.0,2.5,3,0,1,1,4,0
5,5,35.0,3.1,1,0,1,4,3,1
2,2,39.0,3.3,3,0,0,4,4,1
9,9,45.0,3.6,3,0,1,4,4,1
7,7,34.0,3.5,3,0,0,4,3,1
1,1,36.0,2.8,3,0,1,2,4,1
1,2,34.5,3.0,2,1,1,0,5,1
10,10,40.0,2.7,3,0,1,4,4,1
2,2,31.5,3.0,3,0,0,4,3,1
9,10,38.0,3.4,2,0,1,4,4,1
9,10,35.0,3.6,3,0,0,4,3,1
10,10,42.0,2.8,4,0,0,4,3,1
5,3,32.0,3.3,2,0,1,4,3,1
5,4,40.0,2.9,4,0,0,4,6,1
1,2,41.0,3.1,4,0,1,4,4,1
6,7,46.0,3.5,4,0,1,4,6,1
1,3,35.0,3.0,3,1,0,4,5,1
5,5,37.0,3.8,3,0,1,4,4,1
7,8,26.0,3.6,3,0,0,4,2,1
4,4,26.5,2.4,3,0,1,0,5,1
10,10,45.0,3.4,4,0,1,4,3,1
9,8,37.0,3.0,4,0,1,4,3,1
8,9,41.0,3.0,2,0,1,4,3,1
1,2,35.0,3.2,4,0,0,4,3,1
6,6,36.0,2.6,4,0,1,4,3,1
9,4,32.0,2.7,3,0,0,4,2,1
3,2,37.0,3.4,4,0,0,0,3,1
4,3,41.0,2.7,4,0,1,4,3,1
10,9,39.0,3.7,4,0,1,4,5,1
3,3,29.0,2.9,3,0,1,1,5,1
8,10,37.0,3.5,4,1,0,4,3,1
2,2,28.0,3.1,3,0,1,4,3,0
5,3,36.0,3.0,4,0,0,4,3,1
2,4,36.0,3.5,4,0,0,4,6,1
2,4,38.0,3.1,4,0,1,4,3,1
1,2,36.0,2.7,3,0,0,2,3,1
9,8,33.0,3.0,4,0,1,0,4,1
2,5,30.5,3.3,3,0,1,4,3,1
4,4,38.0,3.5,4,0,0,4,4,1
5,7,24.3,3.1,4,0,1,4,3,1
1,2,33.0,3.2,4,0,0,4,2,1
5,7,34.0,3.3,3,0,0,4,3,1
5,7,34.0,3.5,4,0,0,4,4,1
1,2,39.0,3.1,2,0,1,4,4,0
1,1,37.0,3.1,4,0,1,4,3,0
2,3,34.0,3.0,5,0,1,4,5,1
6,7,44.0,3.7,4,0,0,0,5,1
6,6,46.0,3.2,4,0,0,4,6,1
6,6,45.0,3.6,5,0,0,4,4,1
1,2,36.0,3.0,2,0,1,4,4,1
10,10,44.0,3.8,4,0,0,4,3,1
8,8,43.0,2.8,3,0,0,4,4,1
10,9,45.0,3.6,5,0,0,4,5,1
6,6,37.5,3.1,3,0,0,4,3,1
9,10,33.0,3.1,3,0,1,4,4,1
8,9,43.0,3.2,4,0,1,4,4,1
10,9,42.0,2.7,3,0,0,4,3,1
3,4,39.0,3.1,4,0,1,4,3,1
8,6,45.0,3.6,4,0,1,4,4,1
5,7,44.0,3.6,4,0,1,4,5,1
1,2,39.0,3.1,3,0,0,4,2,1
10,10,38.5,3.3,4,0,1,4,3,1
6,8,35.0,3.4,3,0,1,4,3,1
4,3,35.0,3.1,5,1,0,0,5,1
7,7,41.0,3.3,4,0,1,4,3,1
5,6,45.0,3.0,3,0,0,4,5,1
7,6,37.0,3.6,4,0,1,4,3,1
9,9,28.0,2.5,4,1,0,4,3,1
3,2,32.0,2.6,2,0,0,1,5,1
3,4,32.0,2.9,3,1,1,1,4,1
8,8,34.0,2.7,4,0,1,4,3,1
2,4,39.0,3.0,3,0,0,4,3,1
3,7,34.0,2.9,2,0,0,4,3,1
3,3,33.0,3.0,4,0,0,4,2,1
8,5,46.0,3.2,4,0,1,4,5,1
9,10,36.0,3.0,2,0,1,4,2,1
6,6,32.5,2.8,3,0,1,4,3,1
6,6,43.0,3.2,4,0,0,4,4,1
9,10,39.0,3.8,2,0,0,4,5,1
2,1,36.0,3.1,3,0,1,4,6,0
4,7,43.0,3.7,4,0,1,4,6,1
8,8,37.0,3.6,3,0,0,4,4,1
4,5,31.0,3.4,3,0,1,4,2,1
7,7,40.0,3.6,4,1,0,4,5,1
2,2,20.0,3.0,3,0,0,1,3,0
6,7,27.7,3.3,3,0,1,4,3,1
8,9,43.0,3.4,2,0,1,4,4,1
6,4,44.0,3.2,5,0,0,4,6,1
7,4,42.0,3.0,5,0,1,4,3,1
8,9,45.0,3.3,5,0,0,4,5,1
9,8,37.0,3.7,3,0,0,4,5,1
6,7,22.5,3.1,3,0,1,2,1,1
1,3,22.0,2.2,3,0,0,1,1,1
5,5,35.0,2.9,4,0,0,1,4,1
10,10,36.0,3.5,4,1,0,4,3,1
5,5,27.0,3.3,4,0,0,4,3,1
6,4,46.0,3.2,5,0,1,4,5,1
9,9,37.0,2.6,3,1,1,4,3,1
8,8,38.0,3.1,5,0,1,4,3,1
3,4,41.0,2.8,3,0,1,4,5,1
9,9,35.0,3.6,2,0,1,4,3,1
6,9,35.0,3.5,4,0,0,4,6,1
10,10,45.0,3.6,4,0,0,4,3,1
7,9,40.0,3.7,5,0,1,4,6,1
9,7,42.0,3.1,4,0,0,4,3,1
7,7,41.0,3.8,3,0,0,4,4,1
9,8,37.0,3.0,4,0,1,4,1,1
5,3,48.0,3.6,3,0,1,4,6,1
3,5,33.0,3.6,4,1,0,4,3,1
1,3,36.0,3.7,4,0,1,4,3,0
5,6,34.0,3.3,4,0,0,4,3,1
3,2,36.0,3.5,2,0,1,4,1,1
1,1,33.0,3.8,3,1,0,4,3,0
10,9,36.5,3.8,4,0,0,4,4,1
8,8,41.0,3.6,4,0,0,4,4,1
3,6,38.0,2.7,4,0,1,4,5,0
2,2,40.0,3.2,4,0,0,4,4,1
6,6,48.0,3.4,4,0,1,4,6,1
8,9,36.0,2.9,1,1,1,4,2,1
9,7,34.0,3.4,3,0,0,4,3,1
10,10,38.0,3.4,3,0,1,4,3,1
2,1,37.0,3.5,4,0,0,4,5,1
6,6,33.0,3.1,3,0,1,4,3,1
7,9,37.0,3.6,3,0,1,4,5,1
1,4,39.0,2.3,2,0,0,4,2,0
7,5,39.5,3.2,4,0,1,3,4,1
4,6,41.0,3.9,3,0,1,4,4,1
6,5,40.0,3.5,3,0,0,4,4,1
1,2,32.0,3.0,2,0,1,4,3,1
4,4,44.0,3.2,4,0,1,4,4,1
7,7,37.0,3.8,3,0,1,4,4,1
7,7,30.0,3.5,3,0,0,4,2,1
9,9,47.0,3.4,4,0,1,4,4,1
1,2,36.0,3.6,4,0,0,4,3,1
3,5,33.0,2.9,4,0,0,4,4,1
10,10,34.0,3.3,5,0,0,4,2,1
2,2,32.5,3.3,3,0,1,4,2,1
1,2,35.0,2.3,2,0,0,1,3,1
2,1,35.0,2.7,4,0,1,4,3,1
4,4,43.0,3.4,4,0,1,4,4,1
1,2,29.0,3.6,3,0,1,4,3,1
4,3,34.0,3.0,3,0,1,0,5,1
10,9,42.0,3.5,4,0,1,4,5,1
7,6,32.5,3.1,3,0,0,4,2,1
4,5,35.0,3.3,4,0,1,4,5,1
2,2,34.0,2.4,4,0,0,4,3,0
7,6,45.0,2.7,4,0,0,4,6,1
5,7,36.0,3.5,3,0,1,4,5,1
10,10,38.0,3.9,2,0,1,4,4,1
2,2,38.0,3.7,5,0,1,4,5,1
4,7,39.0,3.3,3,0,1,4,2,1
8,8,31.0,3.2,4,0,1,4,3,1
10,10,44.0,3.2,4,0,1,4,6,1
3,5,28.0,3.2,4,1,0,4,3,1
2,4,35.0,3.3,2,0,0,4,3,1
2,3,22.5,2.7,3,1,0,1,4,0
2,2,38.0,2.9,3,0,0,4,1,0
6,5,42.0,2.8,2,0,1,4,3,1
7,7,33.0,2.8,4,0,1,4,2,1
7,7,37.5,3.0,4,0,0,0,4,1
6,3,39.0,3.4,3,0,0,2,3,1
5,6,37.0,2.3,3,0,1,2,2,1
4,4,33.0,3.1,5,0,1,4,4,1
4,5,32.0,3.2,3,0,0,4,2,1
3,3,40.0,3.1,4,0,0,4,3,1
5,5,36.0,2.9,3,0,0,2,4,1
2,1,38.5,3.4,4,0,0,3,3,1
