Tipster,Track,Horse,Bet Type,Odds,TipsterActive,Result
19,92,7472,0,26.0,True,1
4,1,14553,0,13.0,False,0
1,82,8054,1,5.0,True,1
12,72,6261,1,34.0,False,0
24,72,7290,1,13.0,True,0
4,41,5305,0,17.0,False,0
20,42,3054,1,5.4,True,1
13,111,14470,1,7.0,True,0
8,111,8767,1,5.0,True,0
14,54,7278,1,14.8,True,0
24,64,8064,1,13.0,True,0
1,14,14074,1,12.0,True,0
2,62,7776,1,26.0,True,1
8,71,13883,1,5.0,True,0
24,17,12332,1,6.0,True,1
17,104,12077,1,6.0,True,1
6,95,6367,0,41.0,True,1
12,59,15286,1,26.0,False,0
24,74,2635,1,21.0,True,0
8,11,10836,1,4.0,True,0
18,81,14581,0,29.0,False,0
29,47,10501,1,4.0,False,1
0,106,14200,1,6.5,True,1
18,111,11519,0,8.5,False,0
22,48,8680,1,2.88,True,0
28,7,1431,1,13.0,True,1
12,62,9272,1,11.0,False,1
3,53,6119,1,2.5,False,1
22,26,14605,0,7.0,True,1
3,111,4303,1,2.25,False,1
3,48,8105,1,3.75,False,0
3,51,11711,1,2.5,False,0
0,16,15220,1,3.0,True,0
3,114,853,1,5.0,False,1
14,2,1434,0,21.0,True,1
28,34,10392,1,13.0,True,1
8,62,12363,1,5.5,True,1
18,114,8319,1,3.75,False,1
17,17,12150,0,10.0,True,1
4,14,12761,0,26.0,False,1
1,62,2191,1,9.0,True,0
6,14,13624,0,11.0,True,1
4,62,13539,1,3.0,False,1
8,49,15240,1,8.0,True,0
23,2,10989,1,6.0,True,1
27,16,13254,1,9.0,False,0
6,111,8343,0,26.0,True,0
29,86,12209,1,5.5,False,0
3,26,1266,1,3.0,False,1
28,65,6897,1,4.5,True,1
8,18,54,1,3.5,True,0
28,51,15050,1,6.0,True,0
14,114,11826,0,11.0,True,0
30,14,9025,1,3.25,False,1
0,62,4394,1,2.25,True,1
24,62,9575,1,11.0,True,1
2,3,10749,1,4.0,True,1
22,42,15132,1,3.75,True,1
17,73,15668,0,7.0,True,1
21,54,5640,1,4.0,False,0
8,104,14050,1,2.75,True,0
4,54,14843,0,26.0,False,1
11,34,10113,0,17.0,True,1
14,85,12851,1,10.0,True,0
6,16,8172,1,12.0,True,1
22,66,8584,0,13.0,True,1
22,18,1352,1,3.5,True,1
16,13,5196,1,4.33,False,0
2,11,12927,1,4.0,True,1
17,59,3222,1,2.35,True,1
29,7,3229,1,5.0,False,1
21,62,9212,1,3.0,False,1
29,14,8857,0,26.0,False,0
16,54,3028,1,8.0,False,0
8,62,8858,1,3.0,True,0
26,111,9224,1,9.0,True,0
14,16,11876,1,11.0,True,0
1,72,12826,1,20.0,True,0
14,24,13324,1,5.0,True,1
3,12,3793,1,3.5,False,1
4,17,3369,0,21.0,False,1
8,107,1456,1,2.75,True,1
16,16,6701,1,5.5,False,1
27,92,4514,1,7.0,False,0
8,111,796,1,3.0,True,0
8,14,2988,1,6.0,True,1
3,62,11724,1,4.0,False,0
4,111,8651,0,15.0,False,0
0,72,1613,1,3.25,True,0
3,114,722,1,2.63,False,1
11,95,14918,0,15.0,True,1
25,19,13148,1,19.0,True,0
16,66,13871,1,7.0,False,0
1,0,4626,1,6.5,True,0
3,92,5196,1,4.33,False,1
3,54,12271,1,4.0,False,1
3,74,1783,1,2.75,False,1
11,114,5956,0,34.0,True,0
30,72,14972,1,4.0,False,1
8,42,174,1,3.5,True,0
8,111,7006,1,6.0,True,1
4,59,14221,0,14.0,False,1
30,16,15212,1,7.5,False,0
26,73,6593,1,12.0,True,1
14,4,10432,1,7.0,True,0
21,2,1336,1,7.0,False,0
22,47,3235,1,2.63,True,1
8,16,5415,1,3.75,True,1
7,82,10043,1,6.0,True,0
24,42,7216,1,9.0,True,0
28,75,14718,1,17.0,True,0
1,2,4427,1,29.0,True,0
2,82,7013,1,4.0,True,1
7,80,13523,0,41.0,True,0
29,14,6603,0,41.0,False,0
22,54,15697,1,3.5,True,0
0,62,2116,1,2.5,True,1
4,54,1519,0,13.0,False,1
4,114,9437,0,15.0,False,0
29,114,3115,0,19.0,False,0
14,17,11686,1,9.0,True,0
23,83,10818,1,4.0,True,1
1,23,14700,1,30.0,True,0
1,26,15048,1,3.5,True,1
24,111,13439,1,6.0,True,1
18,106,7252,0,7.5,False,1
8,69,9315,1,6.0,True,0
30,60,2692,0,15.0,False,1
0,74,8788,0,5.5,True,1
29,86,9339,1,7.0,False,1
29,111,6965,1,5.0,False,1
16,72,14797,1,7.0,False,1
0,92,6817,0,4.5,True,1
21,62,5574,1,4.0,False,0
29,72,15428,1,7.5,False,1
16,53,8699,1,6.5,False,1
2,16,10162,1,15.0,True,0
2,111,14163,1,2.5,True,1
8,96,3010,1,5.0,True,1
3,66,8573,1,3.25,False,1
22,18,10447,1,4.0,True,1
24,41,13920,1,34.0,True,0
17,34,5711,0,10.0,True,1
28,85,14523,1,15.0,True,0
1,62,2951,1,7.0,True,1
8,74,8500,1,6.5,True,0
22,112,2870,1,2.75,True,1
24,48,10238,1,13.0,True,0
21,99,14412,1,11.0,False,0
22,86,10916,1,2.75,True,1
14,29,15196,0,26.0,True,0
28,62,2047,1,11.0,True,1
16,6,2755,1,19.0,False,1
6,92,10350,0,9.0,True,0
23,86,1370,1,4.3,True,1
11,10,1568,0,15.0,True,1
2,62,13887,1,21.0,True,0
17,77,13634,1,6.5,True,0
28,26,10080,1,4.33,True,0
30,17,3063,1,3.25,False,0
3,12,6264,1,5.0,False,1
8,62,772,1,7.0,True,0
3,39,2163,1,3.75,False,1
1,35,1590,0,23.0,True,1
13,48,9522,1,2.87,True,0
8,26,15591,1,4.0,True,0
2,62,3654,1,13.0,True,0
0,30,12226,0,6.5,True,1
1,54,2281,1,5.0,True,1
1,92,3630,0,26.0,True,1
1,70,6060,1,4.5,True,1
14,54,15746,1,7.0,True,0
6,111,10010,1,8.0,True,1
30,14,7517,1,5.5,False,0
22,14,2932,1,3.0,True,1
30,18,13688,1,6.0,False,0
27,47,10164,1,28.0,False,0
8,6,1267,1,2.1,True,1
19,92,6777,1,19.0,True,0
20,10,1596,1,4.9,True,0
1,75,8769,1,10.0,True,0
11,54,3748,0,13.0,True,0
13,111,3060,0,13.0,True,1
1,53,14707,1,26.0,True,0
23,12,12175,1,8.0,True,1
30,96,1235,0,8.0,False,1
30,72,13028,1,7.0,False,1
24,114,12610,1,15.0,True,0
3,2,6732,1,2.5,False,0
27,77,4184,1,2.5,False,0
7,24,10963,1,8.0,True,0
29,16,3004,1,7.0,False,1
0,41,12489,0,15.0,True,0
8,51,12956,1,6.0,True,0
28,62,8089,1,7.5,True,1
16,66,13954,1,7.5,False,0
28,95,2560,1,6.5,True,1
17,66,13557,0,12.0,True,0
19,54,3443,1,8.5,True,0
29,62,10846,1,3.0,False,1
22,73,7342,1,3.75,True,1
12,111,1587,1,8.0,False,0
3,86,12904,1,4.5,False,0
28,73,514,1,8.0,True,1
29,109,1108,0,15.0,False,1
10,109,1788,0,34.0,False,1
28,48,733,1,6.5,True,1
22,48,357,1,3.75,True,0
19,62,14527,1,13.0,True,1
14,83,2413,0,9.0,True,1
8,96,4466,1,3.25,True,1
22,30,10919,1,5.0,True,0
17,107,14972,1,5.0,True,1
3,106,15194,1,15.0,False,0
2,10,9970,1,5.0,True,0
19,80,6845,1,21.0,True,0
3,4,3139,1,2.5,False,1
3,12,9232,1,2.88,False,1
14,16,8809,1,12.0,True,1
28,110,3430,1,7.0,True,0
28,0,829,1,11.0,True,0
3,111,5852,1,7.0,False,1
30,12,9386,1,5.5,False,0
8,48,11416,1,4.0,True,1
17,86,1223,0,15.0,True,0
20,75,12503,1,4.9,True,0
6,36,6191,1,11.0,True,0
28,10,449,1,15.0,True,1
28,4,5998,0,26.0,True,0
28,7,7840,1,5.5,True,0
23,7,7006,1,6.5,True,0
11,74,2767,0,34.0,True,1
16,107,13389,1,6.0,False,0
15,17,10068,1,3.75,True,1
5,26,1241,1,4.0,False,1
24,2,12704,1,8.0,True,1
18,2,14623,0,6.5,False,1
27,15,1766,0,21.0,False,1
8,83,801,1,4.33,True,1
12,92,3459,1,17.0,False,0
1,92,14517,0,51.0,True,1
7,62,11831,1,15.0,True,0
28,80,9192,1,6.0,True,1
25,42,8782,1,6.5,True,0
21,81,1857,1,7.0,False,1
0,2,929,0,26.0,True,0
16,12,11610,1,9.0,False,0
28,76,13224,1,4.0,True,1
8,17,1850,1,17.0,True,0
1,17,2421,1,41.0,True,0
3,92,8544,1,7.0,False,1
19,114,1047,1,10.0,True,0
30,92,8950,1,7.0,False,0
21,49,8848,0,18.0,False,1
9,61,1918,1,3.0,False,1
7,111,9168,0,13.0,True,1
12,80,4992,1,26.0,False,0
28,83,5712,1,17.0,True,0
23,42,4033,0,15.0,True,0
1,41,6194,1,4.5,True,1
6,62,4745,0,20.0,True,1
22,16,1492,1,5.0,True,1
4,59,9650,0,17.0,False,0
9,104,6791,1,4.0,False,1
3,92,2894,1,11.0,False,0
28,74,6172,1,13.0,True,0
21,69,2430,1,4.0,False,0
28,62,11011,1,8.0,True,1
21,54,1843,1,3.5,False,1
7,74,6809,0,17.0,True,0
8,92,14979,1,2.75,True,1
0,33,15702,0,6.0,True,0
3,14,2949,1,1.73,False,1
8,19,9407,1,6.0,True,0
28,92,9190,1,11.0,True,1
21,62,15657,1,6.0,False,0
16,18,2202,1,8.0,False,0
3,48,5814,1,7.0,False,0
1,16,11920,1,17.0,True,0
3,76,14240,1,5.5,False,1
17,112,11861,1,5.5,True,0
1,73,14610,1,8.6,True,0
5,95,6995,1,7.0,False,1
0,18,11620,1,2.75,True,0
28,107,13242,1,10.0,True,1
11,34,9624,0,15.0,True,1
21,7,2340,1,7.0,False,1
22,39,2112,1,3.25,True,0
23,74,5859,1,4.3,True,1
4,62,10044,0,21.0,False,1
17,51,6416,1,2.5,True,1
22,86,12130,1,8.0,True,0
28,2,11496,1,7.5,True,1
4,48,15504,0,13.0,False,1
14,114,13936,0,12.0,True,0
0,18,9304,1,10.0,True,1
4,92,10613,1,5.5,False,1
7,54,10944,0,21.5,True,1
28,26,5042,1,6.5,True,1
22,67,4471,1,4.33,True,0
29,6,15469,0,8.0,False,1
19,54,1608,1,15.0,True,1
3,42,10745,1,4.5,False,1
18,2,5232,0,7.0,False,1
28,4,2933,1,13.0,True,1
14,48,14479,1,19.0,True,0
12,111,15318,1,12.0,False,0
0,60,5091,0,10.0,True,1
29,86,5442,0,7.5,False,1
3,62,13626,1,2.25,False,0
16,12,15003,1,4.0,False,1
0,19,2779,1,2.88,True,1
22,18,5455,1,7.0,True,0
7,94,3728,1,8.0,True,1
3,7,12010,1,2.75,False,0
0,33,10754,1,4.0,True,0
28,42,12367,1,17.0,True,0
8,59,11091,1,7.0,True,0
2,62,11103,1,67.0,True,1
24,104,5690,1,7.0,True,1
22,11,1141,1,4.0,True,0
16,72,8041,1,4.0,False,1
8,112,9678,1,6.0,True,1
4,54,14713,0,19.0,False,0
7,26,11290,0,34.0,True,1
17,112,3253,0,11.0,True,1
28,21,8676,1,6.5,True,0
28,26,6236,1,11.0,True,0
7,110,13175,1,5.5,True,1
14,53,13995,1,17.0,True,0
3,65,6955,1,2.88,False,1
8,4,13358,1,2.25,True,1
6,111,7272,0,17.0,True,0
20,4,11625,1,4.8,True,1
28,6,5168,1,7.0,True,0
3,34,7155,1,3.0,False,1
14,60,5053,1,26.0,True,1
8,111,2297,1,2.75,True,0
7,54,5010,1,10.5,True,1
23,86,15342,1,6.0,True,0
8,73,10240,1,3.5,True,0
0,54,5132,0,7.0,True,1
16,110,12859,1,5.0,False,1
28,2,3376,1,8.0,True,1
29,18,1503,1,7.0,False,0
29,75,7246,0,13.0,False,1
8,26,9048,1,10.0,True,0
22,112,1834,1,5.0,True,1
25,77,8453,1,7.0,True,0
29,94,10319,0,17.0,False,0
17,62,15146,1,4.33,True,1
22,110,15206,1,5.5,True,1
8,86,7775,1,7.0,True,1
3,39,8916,1,2.75,False,1
1,18,6463,1,6.0,True,0
4,74,9784,0,17.0,False,0
18,114,853,0,9.0,False,0
29,92,11528,1,7.0,False,1
1,62,5954,1,11.0,True,1
10,106,4285,1,4.5,False,1
7,92,12742,1,11.2,True,0
24,111,15328,1,6.5,True,1
29,16,2202,1,4.33,False,0
14,74,297,1,6.5,True,1
19,72,3478,0,21.0,True,0
8,77,6253,1,4.0,True,0
27,54,13928,1,15.0,False,0
7,111,9773,0,21.0,True,1
16,94,15168,1,4.0,False,1
7,74,5945,0,21.0,True,1
8,4,10432,1,7.0,True,0
28,10,13940,1,15.0,True,1
9,107,14136,1,4.5,False,0
14,54,3903,0,5.0,True,1
16,60,7896,1,9.0,False,0
3,106,1111,1,2.88,False,1
24,86,9127,1,11.0,True,0
14,54,11880,1,13.0,True,1
21,36,3738,1,4.5,False,0
13,54,9449,1,5.5,True,0
29,69,13611,1,8.0,False,0
14,16,4111,0,10.0,True,1
8,83,10425,1,3.75,True,0
27,76,3506,1,11.0,False,0
7,30,13157,0,11.0,True,1
12,109,9713,1,11.0,False,0
1,42,9576,1,7.5,True,0
8,74,9457,1,2.75,True,1
4,73,8214,0,11.0,False,1
20,42,6110,1,6.0,True,0
8,66,15708,1,8.0,True,1
8,80,14235,1,6.0,True,1
6,92,8698,1,31.0,True,1
8,75,12615,1,4.0,True,1
23,83,13389,1,3.75,True,1
8,111,1637,1,5.0,True,0
7,110,6746,0,17.0,True,1
28,72,4817,1,8.0,True,1
8,66,6170,1,4.0,True,0
3,59,1177,1,4.5,False,0
8,62,2199,1,2.1,True,1
1,74,600,1,3.0,True,1
16,111,10318,1,3.75,False,0
8,104,15438,1,3.75,True,1
24,48,15392,1,12.0,True,0
16,42,9417,1,6.5,False,0
7,111,12352,0,34.0,True,1
27,13,2545,1,4.5,False,1
27,73,14851,1,9.0,False,0
0,26,8459,1,3.0,True,1
8,16,6335,1,2.5,True,1
8,53,2212,1,8.0,True,1
8,19,9227,1,3.25,True,1
13,62,9085,0,6.0,True,1
11,17,5570,0,15.0,True,1
8,42,6670,1,5.5,True,0
13,16,9376,1,7.5,True,0
3,82,13971,1,6.0,False,1
28,104,2457,1,15.0,True,0
22,48,13043,1,8.5,True,1
29,65,12824,0,8.0,False,1
17,49,6273,0,15.0,True,0
16,26,4120,1,13.0,False,0
15,99,10467,1,3.75,True,1
4,101,3326,0,15.0,False,1
28,114,7952,1,5.5,True,0
24,2,13420,1,9.0,True,0
28,54,2923,1,15.0,True,1
9,49,15240,0,10.0,False,1
1,85,8640,1,8.0,True,1
29,51,14317,1,7.0,False,0
8,111,2040,1,4.0,True,1
3,42,9115,1,3.25,False,0
1,26,7157,1,26.0,True,0
21,54,10693,1,3.25,False,1
0,17,7460,0,15.0,True,1
14,114,8113,1,11.0,True,0
1,82,13674,1,4.5,True,1
8,14,6813,1,3.25,True,1
24,17,2815,1,13.0,True,0
22,83,15144,1,2.75,True,1
0,26,586,1,1.25,True,1
1,52,13431,0,67.0,True,0
29,37,1696,0,9.0,False,1
30,54,13415,1,4.5,False,1
22,75,4741,1,4.5,True,1
22,54,12625,0,6.0,True,1
1,65,8496,1,13.0,True,0
5,109,8525,1,2.5,False,1
12,37,2435,1,12.0,False,0
12,4,6439,1,6.5,False,1
2,11,12927,1,4.0,True,1
22,74,11793,1,3.0,True,1
28,86,4986,1,8.0,True,1
16,66,2297,1,12.0,False,0
7,114,8673,0,34.0,True,0
8,92,7211,1,2.1,True,1
14,30,3272,1,23.0,True,0
8,72,3476,1,6.0,True,1
0,48,5706,1,3.5,True,1
3,110,7829,1,4.0,False,1
28,47,8099,1,7.5,True,0
4,16,8733,1,5.0,False,0
14,62,772,1,8.0,True,0
20,114,14449,1,7.2,True,0
7,92,1580,0,9.0,True,1
22,62,3244,1,2.5,True,0
28,48,11059,1,15.0,True,1
19,2,12568,1,8.5,True,0
24,33,4450,1,9.0,True,1
28,95,5016,1,5.5,True,1
4,62,14416,0,8.0,False,1
2,82,7431,1,3.75,True,0
0,99,3641,1,2.0,True,0
3,72,6401,1,3.0,False,1
29,19,11609,1,5.0,False,1
3,95,10193,1,4.5,False,1
3,4,14687,1,2.88,False,1
8,72,9941,1,7.0,True,0
3,12,7456,1,7.0,False,1
5,2,11029,0,8.5,False,0
3,114,13434,1,2.5,False,1
4,86,10737,0,21.0,False,1
25,47,293,1,21.0,True,0
28,110,5491,1,10.0,True,1
9,66,3168,1,5.0,False,0
28,54,14721,1,6.0,True,1
28,110,13843,1,9.0,True,0
8,53,1890,1,5.5,True,0
28,54,2532,1,6.0,True,0
19,92,3378,1,9.0,True,0
8,107,936,1,3.0,True,0
19,110,13185,1,11.0,True,0
1,71,2000,0,125.0,True,0
20,54,12765,1,5.1,True,1
8,111,12168,1,4.5,True,0
8,48,9534,1,3.75,True,0
8,7,7428,1,10.0,True,1
7,110,9779,1,3.25,True,1
29,92,5084,1,8.0,False,0
1,42,2194,1,14.2,True,0
14,74,423,0,26.0,True,0
8,75,1140,1,4.0,True,0
0,71,2339,1,3.3,True,1
21,11,11755,1,6.0,False,0
1,101,12449,1,10.0,True,0
28,109,9902,1,6.0,True,0
27,110,11270,1,17.0,False,0
14,86,6043,0,9.0,True,1
23,104,2385,1,5.5,True,1
4,74,11070,0,17.0,False,0
9,80,8209,1,3.25,False,1
7,95,1919,1,9.0,True,0
4,54,3008,0,15.0,False,1
1,111,5906,1,2.25,True,1
2,2,7109,1,15.0,True,1
4,96,9555,0,17.0,False,0
7,92,3631,0,26.0,True,0
7,111,3762,0,17.0,True,0
8,72,2538,1,3.25,True,1
1,62,8411,1,12.0,True,1
30,62,2944,1,2.5,False,1
21,15,6540,1,13.0,False,1
2,96,6245,1,4.33,True,1
7,59,4421,0,7.0,True,0
3,16,7675,1,2.0,False,1
4,59,6928,1,5.0,False,1
17,59,2096,1,1.33,True,1
14,54,9726,1,5.0,True,1
14,42,5595,1,12.0,True,0
16,48,10094,1,6.5,False,0
17,101,8639,1,7.0,True,0
2,47,11735,1,17.0,True,1
16,6,13529,1,5.5,False,1
1,10,10600,1,34.0,True,0
15,2,5057,1,9.0,True,0
8,74,10674,1,2.5,True,1
14,4,4236,1,9.0,True,1
3,39,6140,1,3.5,False,1
3,66,8178,1,2.62,False,1
7,54,9730,0,17.0,True,0
6,114,331,1,13.0,True,0
22,62,32,1,2.1,True,1
19,42,13835,1,26.0,True,0
4,2,1327,0,17.0,False,1
24,72,2847,1,10.0,True,0
22,62,15765,1,11.0,True,1
8,89,15462,1,2.75,True,1
28,112,9219,1,10.0,True,1
8,59,5388,1,5.5,True,1
2,18,523,1,15.0,True,0
0,43,9071,0,4.0,True,1
20,86,12090,1,5.6,True,1
25,113,15368,0,11.0,True,1
3,92,9862,1,2.2,False,1
22,79,11401,1,4.0,True,1
14,2,2741,1,6.5,True,1
5,4,10086,1,2.38,False,1
28,111,3379,1,15.0,True,0
8,54,14041,1,3.0,True,1
19,6,11806,1,51.0,True,0
6,92,2965,1,4.33,True,0
19,26,12249,1,13.0,True,0
16,13,2821,1,5.5,False,1
8,96,7431,1,6.0,True,0
1,60,7421,1,7.5,True,1
9,2,14623,1,6.5,False,0
28,62,11788,1,13.0,True,0
28,55,3291,1,6.0,True,0
4,65,7658,0,17.0,False,1
8,54,13009,1,2.75,True,1
4,11,10836,0,15.0,False,1
8,51,8876,1,5.5,True,1
12,75,6025,1,21.0,False,0
24,41,3761,1,6.0,True,0
22,14,7527,1,4.0,True,1
16,30,13744,1,7.5,False,0
21,42,499,1,10.0,False,0
28,36,8198,1,6.5,True,0
17,109,7496,0,17.0,True,1
28,111,3709,1,10.0,True,0
21,81,6923,0,41.0,False,0
4,59,10613,0,13.0,False,1
3,14,11640,1,5.0,False,1
24,41,15467,1,13.0,True,0
8,24,15629,1,9.0,True,0
28,85,4648,1,17.0,True,0
30,109,1502,1,6.0,False,0
2,49,10326,1,3.75,True,0
3,10,11699,1,5.0,False,0
0,41,4770,1,2.38,True,1
4,48,3551,1,10.0,False,0
1,46,9966,1,2.75,True,1
8,54,7341,1,6.5,True,1
18,86,14936,1,3.0,False,0
3,113,10723,1,11.0,False,0
22,62,596,0,17.0,True,1
3,17,7020,1,5.0,False,1
21,111,11257,1,3.75,False,1
7,97,902,1,11.0,True,0
22,69,9877,1,3.75,True,1
16,59,5144,1,9.0,False,1
8,11,12997,1,5.0,True,1
16,110,14289,1,8.0,False,0
7,16,2317,1,7.5,True,0
16,72,491,1,5.5,False,0
1,42,10583,1,5.0,True,0
1,80,12076,1,11.0,True,1
28,0,1674,1,9.0,True,1
22,76,6250,1,17.0,True,0
13,62,2963,0,7.0,True,1
3,74,1564,1,3.5,False,0
29,62,10476,1,6.0,False,1
18,17,12615,0,11.0,False,0
21,47,5933,1,9.0,False,0
8,16,10162,1,4.33,True,1
28,4,14103,1,7.0,True,0
0,67,4471,1,2.38,True,1
26,11,13461,1,16.0,True,0
0,16,1247,0,10.0,True,1
12,14,5726,1,10.0,False,1
28,41,3367,1,10.0,True,0
28,70,11303,1,15.0,True,1
3,86,15068,1,3.75,False,1
19,18,5367,1,51.0,True,0
4,0,4641,0,34.0,False,1
17,106,14112,1,3.5,True,1
0,67,1964,0,13.0,True,0
29,89,14806,1,7.0,False,0
22,107,13041,1,2.75,True,1
28,26,5429,1,6.0,True,0
24,2,7213,1,10.0,True,1
28,92,15516,1,15.0,True,1
5,0,10325,0,12.0,False,1
23,74,6653,1,5.5,True,0
12,94,5838,1,16.0,False,1
8,83,11921,1,3.25,True,0
22,75,950,1,3.75,True,0
9,77,4977,0,13.0,False,1
12,26,1332,1,9.0,False,1
29,74,2171,1,7.0,False,1
16,10,9154,1,10.0,False,0
1,110,2667,1,3.75,True,0
1,30,13129,1,12.0,True,0
1,64,5871,1,15.0,True,0
8,71,619,1,4.5,True,1
28,26,6397,1,7.0,True,0
22,76,13815,1,3.0,True,1
14,33,3780,0,34.0,True,0
29,92,6603,1,12.0,False,0
3,62,6880,1,1.8,False,1
17,104,10090,0,13.0,True,0
26,112,5815,1,20.0,True,0
4,62,2025,0,11.0,False,1
0,62,14583,1,3.25,True,0
3,74,5620,1,3.25,False,1
27,62,12680,1,9.0,False,0
4,82,8810,0,17.0,False,0
8,10,6819,1,3.25,True,0
9,54,2844,1,5.5,False,0
7,42,8064,0,12.0,True,0
0,41,6795,1,2.4,True,1
28,111,3805,1,17.0,True,1
21,95,13826,0,17.0,False,1
14,111,5464,1,10.0,True,0
25,31,2455,0,21.0,True,0
0,86,7554,0,4.5,True,1
19,4,11256,0,34.0,True,0
3,69,13977,1,3.25,False,1
24,86,1223,1,17.0,True,0
