age,education_fill_1,proof_submitted,loan_amount,asset_cost,no_of_loans,no_of_curr_loans,last_delinq_none
31,1,0,266352,818808,2,2,0
37,1,0,520728,666000,6,4,0
40,2,0,649356,805284,4,0,0
31,1,0,651108,790776,4,4,0
29,2,0,1070256,1786476,0,0,0
41,1,0,685356,820812,3,2,0
27,1,0,527028,813636,0,0,0
35,1,0,695532,868104,8,3,0
38,1,0,780276,868608,8,7,0
49,2,0,676956,817560,0,0,0
32,2,0,568188,776400,0,0,0
46,2,3,696156,998880,0,0,0
43,1,0,722556,997620,2,2,0
49,2,1,1169880,1886280,0,0,0
37,1,0,333948,902400,4,3,0
37,2,0,508728,1197960,2,2,0
46,2,0,865476,1044000,0,0,0
45,2,0,640716,924156,0,0,0
46,2,0,633636,1076676,2,0,0
47,2,0,749124,915960,3,2,0
49,2,0,619836,808872,16,8,0
40,2,1,571740,877980,6,3,0
30,2,0,767364,889224,0,0,0
38,1,0,630636,816012,12,3,0
33,1,2,1157880,1885104,0,0,0
44,1,0,496428,805380,0,0,0
32,2,3,867732,1238700,0,0,0
46,2,0,672108,874128,3,3,0
31,2,0,700956,906000,6,2,0
26,1,1,567564,835824,0,0,0
28,2,0,622536,807840,0,0,0
33,2,0,803628,1255164,0,0,0
31,1,0,657108,798000,3,0,0
42,2,0,518520,759024,0,0,0
35,2,0,682668,841272,2,2,0
43,2,0,818676,1482072,11,5,0
36,2,0,348348,547284,2,2,0
40,2,0,778584,963816,2,2,0
32,1,0,690708,807000,0,0,0
45,2,1,290748,758352,10,4,0
47,2,0,716556,835848,0,0,0
43,2,0,737364,843396,0,0,0
41,2,1,413268,549900,0,0,0
36,2,0,930948,1344000,11,0,0
46,2,0,767364,919440,3,2,0
37,2,0,639636,749184,0,0,0
31,1,0,755364,976272,0,0,0
46,2,1,642936,837600,6,2,0
28,1,0,745764,936000,2,2,0
31,2,0,566988,733044,26,3,0
47,1,1,770028,880068,0,0,0
26,2,3,690108,903744,0,0,0
24,1,0,654756,819996,0,0,0
38,2,0,612936,935160,2,2,0
50,2,0,755364,1155420,0,0,0
39,2,0,716556,826956,14,4,0
36,2,0,559980,884016,3,2,0
45,1,0,612936,795336,4,4,0
40,2,0,712956,1550004,8,6,0
50,2,0,672156,864000,11,7,0
28,1,0,686556,932484,0,0,0
29,1,0,1413804,2126844,20,4,0
32,2,0,655908,791376,11,3,1
32,2,0,494520,740280,0,0,0
45,2,0,817092,1104960,0,0,0
34,1,0,711108,909300,6,4,0
41,1,0,767364,928164,16,9,0
26,1,0,613236,813720,0,0,0
26,1,0,897012,1229892,0,0,0
29,2,0,429540,848280,0,0,0
34,2,0,436788,745800,0,0,0
32,1,0,882120,1321464,0,0,0
43,1,0,651108,800964,0,0,0
36,2,0,615636,825492,36,4,0
48,2,0,591636,775200,0,0,0
49,2,0,574188,776232,20,9,0
49,2,0,767364,867600,3,0,0
48,2,0,703356,829668,4,2,0
29,2,0,345372,919896,0,0,0
36,2,0,889464,1203708,0,0,0
28,2,0,807228,1245888,7,4,0
48,1,0,560988,780036,0,0,0
23,1,0,1085316,1517592,2,2,0
31,1,0,528588,791160,0,0,0
34,1,0,502128,774300,2,0,0
28,1,0,565188,1080600,0,0,0
34,1,0,1058640,1350000,2,2,0
44,1,0,639348,791820,0,0,0
31,2,0,496728,844800,0,0,0
29,2,0,722556,875520,0,0,0
38,2,0,486120,715620,0,0,0
29,2,0,1051440,1717740,0,0,0
28,2,0,580188,805404,2,2,0
29,1,0,583188,758904,0,0,0
41,1,0,568188,730284,10,7,0
47,2,0,623736,745656,0,0,0
30,1,0,608436,812040,0,0,0
47,2,1,691908,793056,0,0,0
29,2,0,626436,885084,0,0,0
43,2,0,593736,819000,0,0,0
24,1,0,776736,1160748,0,0,0
48,1,0,550140,763836,0,0,0
50,1,0,461688,809964,0,0,0
26,2,0,722556,891240,2,0,0
33,2,0,707364,827640,2,0,0
39,2,0,586188,1526904,3,3,0
27,1,0,705108,1005684,2,2,0
36,2,0,687756,909024,2,2,0
32,2,1,853476,1212000,0,0,0
40,1,0,642132,891024,2,2,0
44,2,0,629736,827268,19,11,0
33,2,0,684708,858840,0,0,0
27,1,0,767364,933624,3,3,0
44,1,0,824364,993600,64,3,0
33,2,1,873804,1217856,3,3,0
32,1,0,603636,853236,3,2,0
29,1,0,649476,832236,0,0,0
45,2,0,544008,794064,0,0,0
33,2,0,615636,793788,0,0,0
46,2,0,698472,856464,2,2,0
31,1,0,725364,899436,2,0,0
37,1,0,757356,863112,8,6,0
35,2,0,556188,832800,0,0,0
44,2,0,515928,1233024,4,2,0
41,2,0,633336,869580,3,2,0
47,1,0,859476,1146000,0,0,0
25,1,0,624636,709752,0,0,0
41,2,0,630096,790860,2,2,0
35,1,0,657108,861468,0,0,0
33,1,0,731364,900312,0,0,0
47,2,0,639636,801576,0,0,0
34,2,0,669996,835344,0,0,0
33,2,1,746556,854400,6,2,0
37,2,0,633636,821532,3,2,0
34,1,0,754164,1053600,2,2,0
46,1,0,800028,863424,11,5,0
35,2,0,491028,789600,2,2,0
44,2,0,608196,819564,55,27,0
36,1,0,637668,815628,10,3,0
25,1,0,675108,770376,0,0,0
37,2,0,428100,546228,4,2,0
49,2,0,395808,746256,0,0,0
35,1,0,596436,751524,2,0,0
30,1,0,772584,842616,3,3,0
28,2,0,694308,907152,0,0,0
33,2,0,855804,1274928,2,2,0
26,2,0,674556,894216,0,0,0
43,2,0,639636,946296,0,0,0
38,2,0,627636,785844,3,0,0
23,1,0,572628,990240,0,0,0
29,2,1,675108,812916,0,0,0
34,1,0,578988,799920,0,0,0
25,2,1,660156,909024,3,3,0
44,2,0,613368,845712,0,0,0
45,2,0,389808,757704,3,2,0
44,1,0,736956,845928,8,3,0
36,2,0,579396,938880,3,0,0
29,2,0,548220,848052,0,0,0
33,2,0,496728,803892,13,5,0
27,1,1,812436,1144632,0,0,0
38,2,0,573276,887904,2,2,0
29,2,0,715164,868128,0,0,0
50,1,0,564588,819468,3,2,0
38,1,0,638436,874152,13,5,0
41,2,1,612936,800640,3,2,0
46,2,1,451668,1106820,0,0,0
45,2,0,1132680,1613004,17,2,0
42,1,0,365184,491820,0,0,0
36,2,0,805584,1318596,0,0,0
44,2,0,457668,1026756,4,3,0
41,2,1,712416,818952,3,0,0
27,1,2,820428,1189080,2,2,0
35,1,0,370092,767304,3,3,0
30,1,0,550740,878724,0,0,0
36,2,3,837804,1211100,0,0,0
31,2,0,532188,2419200,0,0,0
40,2,0,518700,696000,3,2,0
46,1,0,609036,864720,2,2,0
33,2,0,684228,896220,5,5,0
41,1,1,825228,928896,0,0,0
46,2,0,950232,1315800,8,5,0
34,1,0,652632,821256,3,0,0
27,2,0,592188,836904,0,0,0
25,1,0,801384,912000,0,0,0
43,2,0,460668,798360,0,0,0
29,1,0,699108,864072,7,7,0
47,2,0,330348,553368,5,2,0
36,2,0,627648,869952,0,0,0
48,2,0,740448,1316160,11,10,0
40,1,0,665472,785724,2,2,0
46,2,0,785784,1088052,6,0,0
38,2,0,603636,941892,2,2,0
38,2,0,565740,841680,3,2,0
46,2,0,782028,1231032,5,5,0
37,1,0,720156,851364,0,0,0
43,2,0,674028,821196,0,0,0
24,1,1,592188,1275360,0,0,0
47,2,0,499128,805380,0,0,0
31,2,0,781980,1162668,0,0,0
40,1,0,746556,940200,9,2,0
44,1,0,786408,900000,4,3,0
31,2,0,552336,766224,4,2,0
41,2,2,473880,828780,0,0,0
38,1,0,542100,743700,0,0,0
33,2,0,681108,840516,9,6,0
38,1,0,639636,866472,0,0,0
46,1,0,648936,825792,5,2,1
37,2,0,745992,1090668,2,0,0
28,1,0,837804,1146000,3,3,0
38,2,0,676956,821040,6,0,0
41,2,1,671316,1098264,0,0,0
28,1,0,658956,862800,0,0,0
50,2,0,365808,873288,0,0,0
35,2,0,478800,649932,0,0,0
27,1,0,663108,846000,3,3,0
40,2,0,636744,864708,0,0,0
40,2,0,618156,811704,0,0,0
29,1,0,586188,709512,3,2,0
37,1,2,475128,703956,0,0,0
44,1,0,776628,908772,28,5,0
30,2,0,667068,780540,8,6,1
32,2,0,699108,831672,6,3,0
47,1,0,615636,709368,14,6,0
30,1,0,814584,950232,0,0,0
25,2,1,950232,1319412,0,0,0
37,2,0,417948,566328,10,9,0
38,1,0,790584,900000,6,5,0
28,2,1,609636,919848,0,0,0
32,2,0,354348,726000,0,0,0
42,1,0,659868,860460,17,2,0
46,2,0,658548,841476,2,2,0
26,1,0,498168,787152,0,0,0
30,1,0,690156,903108,4,0,0
37,2,0,554100,743976,0,0,0
49,1,0,651108,858816,0,0,0
24,1,0,793200,1127952,2,2,0
26,1,0,1169880,1632000,2,0,0
27,1,0,843804,1192440,2,2,0
46,1,0,864876,1114212,0,0,0
46,1,0,569676,793056,0,0,0
35,2,1,731364,1173396,0,0,0
37,2,0,594936,767544,0,0,0
35,1,0,642036,746400,0,0,0
39,2,0,731364,1314000,0,0,0
27,1,0,847476,1021104,0,0,0
31,1,0,615972,934296,7,4,0
49,2,0,623436,881040,14,5,1
50,2,0,659676,839172,0,0,0
28,1,0,584988,767208,0,0,0
47,2,0,755364,871140,2,2,0
48,2,2,607548,855912,0,0,0
28,2,0,746556,936000,0,0,0
48,2,0,797784,969792,8,6,0
25,1,0,767364,1121136,2,2,0
47,2,0,814584,934752,11,2,0
43,2,0,820584,1020000,0,0,0
29,1,0,638136,821832,5,5,0
35,1,0,644436,888360,44,16,0
44,2,0,602436,756120,0,0,0
31,1,1,572988,745824,2,2,0
41,2,0,776028,963984,2,2,0
29,2,0,831804,1194396,3,2,0
25,1,0,791028,1058580,0,0,0
33,1,0,484728,699000,2,2,0
47,2,0,556188,771696,4,3,0
41,2,0,527148,853128,7,2,0
40,2,0,864204,990000,2,2,0
33,2,0,519528,781956,10,5,0
31,2,0,1174068,1934400,2,0,0
43,1,0,461268,744600,0,0,0
48,2,1,642156,748392,5,4,1
37,1,1,359808,805788,10,8,0
27,2,0,853476,1167600,0,0,0
43,1,0,484728,693252,2,2,0
31,1,3,521364,879624,0,0,0
31,2,0,724164,837060,0,0,0
50,2,0,633636,714312,2,2,0
26,2,1,603360,962424,0,0,0
27,1,0,708564,809844,3,2,0
25,1,0,484728,754632,0,0,0
39,2,0,698724,982800,0,0,0
45,1,0,632436,768228,20,4,0
27,1,0,507768,831768,0,0,0
26,1,0,740640,886200,6,3,0
43,2,0,718452,861516,0,0,0
47,2,0,788028,1083540,0,0,0
32,1,0,639636,1090944,4,3,0
36,2,0,684156,913404,0,0,0
45,2,0,620676,892032,0,0,0
28,2,0,824028,1167816,0,0,0
24,1,0,753564,951120,0,0,0
26,1,0,733200,985080,0,0,0
26,1,0,492372,755172,2,2,0
47,1,1,584988,809748,7,4,0
48,2,0,494328,943752,0,0,0
39,1,0,546588,818796,14,9,0
33,2,0,496728,749196,6,3,1
29,2,1,678708,909600,0,0,0
44,2,0,770556,960744,5,5,0
29,2,1,626436,770412,5,4,0
48,2,0,380808,933600,0,0,0
44,1,0,759600,870696,0,0,0
49,2,0,646128,847044,6,3,0
35,1,0,668016,808368,4,4,0
25,2,0,684156,825276,4,4,0
40,1,0,494400,743016,4,0,0
37,2,0,743364,952800,3,2,0
30,2,1,282888,826920,0,0,0
28,2,0,801228,1321200,0,0,0
42,2,0,415932,823344,3,2,0
34,1,0,654156,756000,0,0,0
29,1,0,593736,821472,0,0,0
45,2,0,788628,906000,14,2,0
46,2,0,535188,782496,0,0,0
34,2,3,619752,839064,7,3,0
31,1,0,515628,829764,2,2,0
25,2,0,632436,813408,0,0,0
49,2,0,794028,1032000,4,3,0
46,2,0,841476,1288800,2,2,0
48,2,0,719364,872400,6,4,0
25,1,0,624996,728892,0,0,0
27,2,0,504528,881592,3,0,0
32,1,0,621636,1073004,0,0,0
43,1,0,795828,948000,16,6,0
45,1,0,688716,816636,6,3,0
29,2,0,746556,1341540,0,0,0
23,1,0,521928,840000,5,3,0
42,2,0,406068,735264,13,5,0
50,2,0,653508,816696,0,0,0
32,2,0,519120,802680,2,0,0
35,1,0,699108,856800,14,0,0
31,2,0,633336,830868,0,0,0
25,2,0,615636,797904,7,5,0
42,1,0,867804,1063200,20,3,0
26,2,1,425268,844668,0,0,0
30,1,0,574188,776136,0,0,0
30,2,1,843804,1298508,0,0,0
43,2,0,660744,787896,6,2,0
48,2,0,482808,652680,5,3,0
29,2,1,642036,841248,0,0,0
44,2,1,924948,1449468,0,0,0
40,1,0,824556,987576,14,10,0
24,1,0,606036,783108,3,2,0
48,2,1,624936,933816,0,0,0
31,2,0,754308,987984,2,0,0
26,2,0,687108,833880,0,0,0
30,2,0,401808,738084,3,2,0
37,2,0,792828,977760,2,2,0
38,2,2,824400,1215132,0,0,0
39,2,0,329388,905712,0,0,0
25,2,0,393528,825900,0,0,0
36,1,0,394704,599400,0,0,0
46,1,0,654552,788460,15,6,0
45,2,2,716688,927324,4,3,0
48,1,0,881076,1201776,2,2,0
30,2,1,933012,1176852,2,0,0
42,1,0,692724,1411872,13,7,0
44,2,0,544188,844608,3,2,0
31,2,0,526728,857928,0,0,0
28,2,0,636936,807420,0,0,0
31,1,1,590988,854160,0,0,0
35,2,0,660156,857616,0,0,0
37,2,0,591276,782820,0,0,0
38,2,0,514728,854856,0,0,0
30,2,0,645636,841488,3,0,0
38,1,1,668556,772572,2,0,0
37,2,0,493728,849552,19,17,1
37,2,0,312384,886932,4,2,0
35,2,1,730020,1073532,0,0,0
41,2,1,623736,971700,0,0,0
43,1,0,696180,795420,15,6,0
26,1,0,632796,826908,2,0,0
25,2,0,918948,1349544,0,0,0
42,2,0,704496,953544,0,0,0
42,2,0,754800,854400,0,0,0
26,2,0,872604,1327524,0,0,0
30,2,0,477528,783480,0,0,0
28,2,4,743364,1298676,0,0,0
42,2,0,564588,818400,2,2,0
37,1,0,415152,608700,0,0,0
26,1,0,556188,696420,0,0,0
26,2,0,544188,705420,2,0,0
30,2,3,675756,863820,8,4,0
39,1,0,559260,737580,4,2,0
47,2,0,690708,851628,0,0,0
27,1,0,771228,996000,0,0,0
30,1,0,663108,944868,4,2,0
31,2,2,579036,974100,0,0,0
37,2,0,696108,894324,4,3,0
30,2,0,656004,790800,10,10,0
37,2,0,645636,814200,0,0,0
37,2,0,448980,799380,4,3,0
26,2,0,708156,926604,0,0,0
36,1,1,672516,810120,10,0,0
25,2,0,1385016,2091660,0,0,0
42,1,0,546588,828000,0,0,0
29,2,1,658956,859848,0,0,0
39,2,0,722556,951348,0,0,0
29,1,0,528000,686400,0,0,0
41,1,0,750156,975600,0,0,0
46,1,0,636936,828240,2,0,0
31,1,0,735396,872016,2,2,0
49,2,0,532188,761496,0,0,0
45,2,0,568188,861240,0,0,0
32,1,0,719364,868092,0,0,0
26,2,3,855804,1207740,0,0,0
37,2,0,667908,829140,3,0,0
49,2,0,544188,838032,0,0,0
30,1,0,782184,915252,7,5,0
31,2,0,672156,869520,29,8,0
47,2,1,615636,932400,0,0,0
46,2,0,681756,905664,18,6,0
23,1,0,716556,814716,0,0,0
49,2,0,657108,802512,8,6,0
35,1,0,630036,820296,0,0,0
30,1,0,767184,921936,0,0,0
44,2,0,663108,880836,4,0,0
27,2,0,615636,829260,0,0,0
28,1,0,530388,765600,3,2,0
39,2,0,684156,791760,2,2,0
37,1,0,761364,983856,9,4,0
47,1,1,722148,942024,0,0,0
38,1,0,642036,768900,0,0,0
36,1,0,633336,759720,2,2,0
25,2,0,688356,999504,0,0,0
31,2,0,755364,918300,0,0,0
38,2,0,708156,862092,5,3,0
36,2,0,600096,777216,31,4,0
31,2,0,633636,847884,7,6,0
35,2,0,806028,966300,9,5,0
42,2,0,615636,830352,0,0,0
47,1,0,654228,794160,4,3,0
40,2,3,672156,815376,0,0,0
26,1,0,786000,1152960,0,0,0
47,2,0,437268,704220,15,3,0
30,2,0,648156,801732,0,0,0
45,1,0,758556,1032000,0,0,0
30,1,2,650748,929724,3,3,0
37,1,0,622836,793200,0,0,0
28,1,0,778428,948000,2,2,0
25,1,0,790584,1015800,2,2,0
28,2,1,802584,1210260,0,0,0
43,2,0,830028,1119600,7,6,0
25,2,0,592188,903540,0,0,0
42,2,0,761280,980400,4,3,0
26,2,0,571188,813240,2,0,0
37,1,0,501408,860364,0,0,0
47,2,0,692724,929352,3,0,0
35,2,0,379932,841488,0,0,0
40,1,0,534108,846000,2,2,0
39,2,0,606936,751392,2,0,0
45,1,0,696708,861144,15,8,0
32,1,0,770028,1017600,0,0,0
41,2,0,802584,970428,0,0,0
44,2,0,389808,795948,2,0,0
40,1,0,829620,1061028,6,5,0
27,1,0,529428,793500,2,2,0
41,1,0,714840,877800,4,3,0
41,2,0,717756,840000,4,3,0
26,2,1,741336,1131048,0,0,0
28,2,0,692556,837600,0,0,0
35,1,0,718956,923328,0,0,0
34,2,0,648036,857484,0,0,0
27,1,0,865476,1234740,0,0,0
33,2,0,825804,984000,2,2,0
36,2,0,455268,670836,0,0,0
26,2,0,686952,821460,2,2,0
31,2,0,610836,851148,0,0,0
46,2,0,651756,744324,0,0,0
49,1,0,768984,984000,4,4,0
27,2,1,814584,956676,3,3,0
30,2,2,527076,900060,4,4,0
34,2,0,651636,838776,0,0,0
45,2,0,556188,772164,12,2,0
32,1,0,529428,793500,0,0,0
29,1,0,696708,808212,0,0,0
44,2,3,619680,788916,0,0,0
43,2,0,910548,1024032,0,0,0
33,2,0,825804,1304400,2,0,0
35,1,0,596436,784080,3,3,0
35,2,0,473268,625080,2,0,0
26,1,0,928548,1330752,0,0,0
42,1,0,741564,864000,4,3,0
28,2,0,877476,1458000,0,0,0
33,1,0,600348,832404,0,0,0
36,2,0,713364,828000,4,3,0
47,2,0,538188,916620,0,0,0
25,2,1,701916,1268400,0,0,0
27,1,0,630936,804456,0,0,0
29,1,0,538188,803616,3,0,0
38,1,0,728556,868788,2,2,0
44,1,0,824292,947688,3,2,0
33,2,0,782028,925716,2,0,0
42,2,0,772584,941976,0,0,0
32,2,0,1413804,2126532,3,3,0
40,1,0,717564,860916,4,2,0
30,2,0,666792,798396,2,2,0
49,2,0,520728,1190772,0,0,0
37,2,0,615636,808920,0,0,0
28,2,0,526188,835452,0,0,0
29,2,0,585396,808260,2,2,0
27,1,0,818028,1237092,0,0,0
40,1,0,744084,854400,2,2,0
26,2,0,428148,861744,0,0,0
43,2,0,713364,826200,5,5,0
46,2,1,634836,908148,2,2,0
40,2,0,615636,936000,0,0,0
41,2,0,690108,905568,3,3,0
39,2,0,789588,910092,0,0,0
45,1,0,711108,819780,5,3,0
41,2,1,679548,873252,3,2,0
31,2,0,657756,825540,3,2,0
46,2,0,612036,771456,2,0,0
35,2,0,725556,936648,0,0,0
45,2,0,826584,990000,0,0,0
26,2,1,849804,1249128,0,0,0
25,1,0,687108,881196,2,0,0
31,2,0,592188,923148,0,0,0
42,2,0,591936,718764,12,2,0
24,1,0,1027440,1456944,0,0,0
46,2,0,588588,850440,10,6,0
35,2,0,841476,1031088,3,2,0
41,1,0,962232,1137600,11,5,0
41,2,0,906696,1056000,3,2,0
48,2,1,743556,847956,0,0,0
40,2,0,687108,837360,6,3,0
37,1,0,376452,724152,0,0,0
39,1,0,675108,781968,4,4,0
45,1,0,716964,819996,2,2,0
42,1,0,840276,1050180,18,8,0
38,2,0,740556,1184664,0,0,0
28,1,0,429300,586800,0,0,0
48,2,0,512448,898428,0,0,0
44,2,0,609636,754584,5,3,0
27,1,0,603636,736380,3,2,0
28,2,0,944232,1308000,0,0,0
27,2,0,651636,783048,2,0,0
35,1,0,521580,837876,10,4,0
41,2,0,620676,901200,20,4,0
28,2,1,575616,778356,0,0,0
44,1,0,756156,963708,6,0,0
46,2,0,711108,804000,3,3,0
44,1,0,661200,813840,0,0,0
38,2,0,556188,693336,23,4,0
34,2,0,413268,606120,22,8,0
36,1,0,562188,802932,0,0,0
31,1,0,963432,1305960,7,5,0
31,2,0,651756,771456,2,0,0
47,2,1,376224,548760,0,0,0
26,1,0,564588,814356,2,2,0
30,2,0,514728,679584,0,0,0
32,2,0,708072,843492,6,3,0
45,2,0,758556,917820,5,2,0
40,1,0,915012,1255320,3,0,0
36,1,0,644436,751920,0,0,0
44,2,0,784428,1528824,0,0,0
28,1,0,696708,852588,0,0,0
26,2,0,648936,734244,0,0,0
32,1,0,620436,952800,20,8,0
46,2,0,435228,736692,6,3,0
29,2,3,592104,892080,2,0,0
47,1,0,853476,1336272,2,0,0
46,2,0,705108,827292,0,0,0
48,1,0,566400,829944,8,7,0
39,2,0,538716,764868,0,0,0
42,2,0,841476,1014384,4,3,0
30,1,0,516120,637044,0,0,0
47,1,0,620676,825000,15,8,0
48,2,0,711108,849000,8,3,0
25,1,1,711108,1225524,0,0,0
40,2,0,669108,935760,0,0,0
25,1,1,576696,801504,3,3,0
34,2,0,538980,797892,2,2,0
35,2,0,667188,956916,0,0,0
32,1,0,467268,697200,0,0,0
41,2,0,681108,1243452,0,0,0
26,1,0,568188,818520,0,0,0
45,2,0,654708,762168,0,0,0
44,1,0,609636,801600,0,0,0
41,2,0,716556,979152,0,0,0
31,1,0,792828,975480,0,0,0
28,1,0,523728,820356,0,0,0
36,2,3,867804,1190532,0,0,0
36,1,0,770184,954000,0,0,0
41,1,0,552924,721524,0,0,0
48,1,0,574188,896220,0,0,0
33,1,0,912708,1284468,2,0,0
28,2,0,556188,926304,0,0,0
28,1,0,996396,1401852,0,0,0
39,2,0,663108,848196,6,3,0
45,1,0,461268,800400,0,0,0
30,1,0,730056,870000,0,0,0
27,2,0,654156,817272,0,0,0
32,2,0,461268,742680,2,2,0
30,2,0,863712,1177452,3,3,0
31,2,2,663108,762288,2,0,0
32,1,0,666156,804744,4,2,0
40,2,0,755364,936000,5,3,0
44,2,1,342348,817416,0,0,0
44,2,0,620640,754128,0,0,0
37,1,0,751104,911892,0,0,0
30,2,0,562188,917844,4,3,0
28,1,0,840204,1096584,3,3,0
33,1,0,580188,846000,0,0,0
47,2,0,605196,815196,4,2,0
31,2,0,651636,840876,4,2,0
41,1,1,708276,869136,6,5,0
47,1,1,472440,766632,2,2,0
42,1,0,702120,839964,0,0,0
25,2,0,885804,1296216,2,0,0
43,1,0,699108,830364,4,2,0
35,2,0,280812,763524,3,0,0
27,1,0,615636,804000,4,3,0
36,2,0,713364,863304,7,5,0
30,2,1,1015440,1398252,0,0,0
50,2,0,413808,755484,2,2,0
28,1,0,643236,771456,0,0,0
46,1,0,693108,801300,25,13,0
37,1,0,711108,864900,11,5,0
46,2,0,484128,688584,0,0,0
36,2,0,484728,779124,48,7,0
47,1,0,512940,923496,2,2,0
36,2,0,884604,1019808,0,0,0
46,1,0,568188,1025940,3,0,0
23,1,0,849804,1008600,0,0,0
31,1,0,597156,792216,0,0,0
36,2,0,741420,883368,0,0,0
46,2,0,746556,850872,4,0,0
31,1,3,801384,1106820,0,0,0
30,2,1,576108,735372,0,0,0
29,2,3,844788,1198728,0,0,0
25,1,1,675108,827016,0,0,0
29,1,0,682956,943836,0,0,0
47,1,0,606096,776112,13,3,0
29,1,0,508728,706824,3,3,0
41,2,0,580188,726780,0,0,0
44,2,0,544188,831756,0,0,0
47,1,0,699108,932124,0,0,0
34,2,0,522648,813492,6,2,0
34,1,0,818028,924000,4,2,0
44,2,0,731964,962640,3,2,0
27,1,2,713364,981708,0,0,0
27,1,0,597636,830052,0,0,0
43,2,0,684156,818988,0,0,0
27,1,0,615636,899532,5,0,0
50,2,0,708156,817308,0,0,0
48,1,0,746556,905760,0,0,0
33,2,0,794028,900000,2,2,0
33,1,0,666708,825948,2,2,0
49,2,0,710484,830400,0,0,0
47,2,0,586188,750912,0,0,0
26,1,0,635736,740496,2,2,0
24,1,0,659868,891504,6,0,0
37,2,0,519528,745392,3,3,0
29,2,0,693756,811440,0,0,0
36,2,0,687108,849120,2,0,0
22,1,0,666156,870012,0,0,0
36,1,0,674556,824280,0,0,0
43,2,0,697908,904776,2,0,0
33,2,0,580188,778068,9,6,0
45,2,0,520728,942792,4,4,0
46,2,0,515928,775548,0,0,0
49,1,0,524328,731700,3,2,0
27,2,0,941748,1321140,0,0,0
47,1,0,553740,701928,12,3,0
26,1,0,737676,884880,2,2,0
41,1,0,629736,808980,3,3,0
32,2,0,358368,590400,3,3,0
28,2,0,681876,1164456,0,0,0
45,1,0,681108,830400,0,0,0
31,1,0,517188,766848,0,0,0
47,2,1,679656,1021500,0,0,0
33,2,0,672156,833796,0,0,0
48,2,0,615636,741984,0,0,0
28,1,0,472740,779868,2,2,0
48,2,0,600936,845880,0,0,0
39,2,1,666516,799464,0,0,0
45,2,0,1173468,1584000,0,0,0
47,1,0,515628,837072,9,4,0
43,1,0,590436,798696,5,3,0
42,2,0,1047288,1459848,2,2,0
27,1,0,772584,1023960,4,3,0
38,2,0,603636,881088,0,0,0
