,Unnamed: 0,Monthly_Inhand_Salary ,Accounts of user,Credit cards user have,Interest Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Outstanding_Debt,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Utlization Ratio,Credit Inquiries,Cumulative Balance,Cash Flow,Credit Score
481,481,9279.563333,4,4,5,4,27,20,5.86,1358.65,236.2776578,204.2274394,727.4512362,94,18,2010,3842,Standard
6607,6607,5613.886667,8,6,18,7,49,8,13.28,2073.32,30666.0,243.0060308,359.2205533,71,17,3323,2399,Best
4120,4120,5611.786667,8,7,28,6,58,10,14.74,2216.36,170.4184241,113.1296652,517.6305773,92,12,3356,601,Standard
3964,3964,1105.65875,0,3,7,3,7,4,8.77,1196.73,21.80270367,63.22260436,315.540567,74,19,2997,3746,Best
4957,4957,8804.1825,4,7,16,-100,26,14,16.74,401.46,37640.0,71.52089388,863.4061451,72,16,1169,3138,Best
652,652,3487.325,6,6,17,2,26,18,18.62,2206.86,43.1712988,309.4610082,266.100193,96,11,3726,327,Standard
5336,5336,13463.05,4,3,5,1,15,9,8.3,18.93,120.6482115,459.0715876,1046.585201,75,18,2701,120,Best
4916,4916,1674.325417,4,4,2,3,11,10,2.05,1464.77,34.53529462,150.5929074,252.3043396,73,17,2432,3111,Best
4953,4953,1906.461667,7,4,8,3,21,19,7.13,174.06,53.55830614,149.7035957,277.3842648,71,15,3149,634,Best
3697,3697,730.8220833,6,7,23,6,31,17,20.04,3513.87,26.91462756,60.05821704,276.1093637,97,12,1296,1566,Standard
5007,5007,2683.3675,6,5,12,4,8,18,8.0,430.56,96.59653294,61.67284117,350.0673759,79,14,4078,2577,Best
789,789,3025.489167,1,7,1,2,1,1,4.24,142.05,33.36609811,183.4824446,365.700374,79,15,3528,2732,Best
4826,4826,1056.233012,5,4,10,2,19,10,17.48,2223.56,96.15291429,55.84841663,334.8609073,75,19,4036,3587,Best
5176,5176,8441.59,6,4,17,3,5,11,2.92,1472.89,154.8009425,212.0930689,737.2649886,89,12,3627,1345,Best
3518,3518,3081.170833,0,5,11,3,11,9,8.54,1393.72,60.11306116,34.76341391,463.2406083,84,10,4730,3677,Standard
7591,7591,4933.0,7,6,30,8,42,17,0.5,4730.75,283.6223207,95.9687861,353.7088932,80,19,2479,4366,Best
3738,3738,2841.55,6,7,5,2,8,10,7.55,1240.48,36.26074809,384.1397871,153.7544648,70,16,3470,1247,Best
6452,6452,1101.115833,0,5,3,2,13,10,6.63,589.87,24.18573263,109.9352563,265.9905944,79,19,4589,4002,Best
3240,3240,1313.634167,8,6,9,2,24,14,8.29,1259.92,22.99100815,94.34385475,304.0285538,82,7,1559,3282,Standard
6285,6285,1480.518333,7,6,18,3,12,13,10.74,197.54,43.32669047,67.44019041,317.2849525,72,7,2299,430,Best
7464,7464,4180.633333,4,6,16,3,13,11,10.54,1437.83,113.1596428,432.1192939,152.7843966,73,17,4876,2644,Best
2512,2512,3568.568333,2,5,10,3,0,12,9.33,670.05,97.75807094,374.4985507,174.6002117,93,10,4490,747,Good
3182,3182,3275.381667,7,10,28,7,31,17,0.45,1442.56,177.8171898,78.73256593,310.988411,80,11,3482,101,Standard
5950,5950,2533.58,10,6,34,7,60,27,1.79,1432.3,187.191253,97.44942773,228.7173193,71,14,2628,2616,Best
5,5,3037.986667,2,4,6,1,3,4,5.42,605.03,18.81621457,218.9043435,356.0781086,94,4,2966,4456,Good
7444,7444,4673.745,7,8,30,-100,48,21,28.63,4237.27,190.6419746,144.1388499,392.5936755,78,14,3756,792,Best
6189,6189,9138.8825,4,3,5,3,14,9,1.6,409.62,219.1042111,119.5521778,815.2318612,75,18,3985,109,Best
4736,4736,3211.19,2,6,5,2,1,3,0.53,775.54,61.36280292,391.9344426,157.8217545,76,17,2606,4036,Best
4178,4178,524.9945833,10,8,21,8,41,15,16.48,4507.0,47.29299878,20.64798576,244.5584738,94,12,4496,1864,Standard
6513,6513,1039.455833,5,10,26,-100,25,15,11.12,1275.75,73.23949445,87.12641691,223.579672,73,17,2419,2653,Best
7439,7439,2077.443333,3,7,18,3,18,10,3.1,1264.51,37.19932647,146.4622744,294.0827325,73,18,1441,4526,Best
1287,1287,1400.799167,3,3,8,5,21,12,11.42,1109.22,68.09053967,90.48306308,271.5063139,77,19,4085,3313,Best
622,622,5933.786667,9,6,19,5,17,20,28.48,4685.34,195.5397719,254.722734,433.1161608,81,2,4699,764,Standard
602,602,14258.02667,4,7,9,1,7,5,6.06,967.23,107.8108996,1563.512893,44.4788737,98,3,1715,2741,Good
225,225,8527.755,3,3,6,1,4,6,3.11,1374.56,64.00168567,124.2894824,904.4843319,96,2,2730,4223,Good
3531,3531,2015.507083,2,7,12,4,4,8,5.01,695.85,50.34316991,184.1587593,237.0487792,83,9,4449,3093,Standard
4007,4007,6744.845,1,1,6,2,0,1,8.05,262.72,65.55683764,515.2173948,373.7102676,98,3,4192,594,Good
1276,1276,6973.353333,1,6,1,1,6,2,1.81,360.92,56.69193834,327.8455882,592.7978068,91,2,3581,4688,Standard
1767,1767,780.74375,7,8,32,8,47,18,24.07,4405.99,32.44151245,85.1506684,250.4821941,99,10,1898,2972,Standard
591,591,2994.961667,6,6,5,1,21,13,3.59,939.31,27.76471097,129.1514853,412.5799704,99,6,2392,954,Good
4314,4314,1505.155833,8,9,34,7,23,18,20.74,4006.34,75.54384988,53.84215714,301.1295763,71,4,4018,4552,Best
943,943,10998.1775,5,7,6,2,2,1,12.54,744.97,199.8420985,279.6363767,870.3392748,79,15,1341,1117,Best
1438,1438,3586.23,4,6,12,6,24,10,15.01,24.73,153.7243187,120.7728401,334.1258413,97,16,2216,4606,Good
5982,5982,1720.165833,7,681,32,4,47,19,11.41,1457.54,62.6712623,107.9997695,261.3455516,75,17,4674,2380,Best
2744,2744,7022.135,0,4,3,1,15,5,1.45,214.43,55.6533693,154.7657375,731.7943932,79,18,1763,3306,Best
4346,4346,8039.245,2,5,3,4,11,11,6.83,975.21,289.841054,477.6989261,306.3845199,72,16,3755,4025,Best
735,735,5751.085,8,4,4,1,35,12,0.67,843.44,39.80832826,443.9981018,381.30207,93,3,1994,2872,Good
5124,5124,4180.633333,4,6,16,3,13,8,10.54,1437.83,113.1596428,265.129082,309.7746086,74,14,4269,3867,Best
1905,1905,1416.694167,5,6,18,7,25,11,18.01,2551.12,52.68006789,185.8401994,193.1491493,78,19,4307,1251,Best
4946,4946,8876.84,6,5,18,3,22,15,9.67,1300.88,241.794376,606.9872584,318.9023656,70,17,4740,398,Best
7451,7451,6038.026667,4,4,5,2,5,-2,7.95,240.64,109.8958619,297.5641319,486.3426728,72,17,3991,344,Best
6094,6094,6919.663333,5,4,8,4,22,14,7.81,1383.41,176.4974326,85.72071776,679.748183,79,15,4226,2329,Best
5142,5142,1479.784565,8,5,12,6,25,12,18.09,1382.82,189.7254954,84.45525189,289.8829378,73,19,1085,405,Best
3201,3201,11719.84667,0,5,2,4,3,4,3.94,174.79,345.741569,125.7459553,950.4971423,71,15,3080,226,Best
734,734,5751.085,8,4,4,1,29,12,0.67,843.44,39.80832826,215.9806967,579.319475,99,10,1848,1004,Good
2013,2013,944.53125,9,5,25,9,44,20,5.8,1853.17,44.00521092,38.7778423,271.6700718,81,13,2107,4392,Standard
704,704,2594.44,5,7,14,4,20,13,17.0,811.08,57.08103771,32.02689485,420.3360674,78,17,4292,3608,Best
5917,5917,2540.355833,7,4,14,1,6,6,8.68,1275.06,16.32746629,92.63473387,435.0733832,76,14,3325,3793,Best
7537,7537,10209.19667,4,7,10,5,14,17,8.62,177.03,369.7424643,340.9357433,560.241459,78,14,3346,1072,Best
6347,6347,1819.979167,1543,8,29,7,20,23,20.96,3532.63,101.0619517,183.4559248,177.4800402,78,19,1499,3268,Best
6672,6672,10669.48667,0,6,12,2,4,7,11.15,446.36,183.0815422,236.3171109,887.5500136,72,14,1564,3504,Best
5630,5630,1588.8875,4,7,12,4,1,9,1.68,863.48,49.39074925,131.4541618,258.043839,87,16,4767,878,Best
1162,1162,1327.622917,5,5,9,6,20,13,10.6,265.36,45.09082981,58.33921732,319.3322445,77,13,3499,430,Best
5443,5443,3695.525,7,6,18,2,5,14,10.74,476.56,51.2728535,47.67641017,510.6032363,71,18,3951,4932,Best
59,59,1074.584583,7,5,17,5,48,21,7.97,1672.43,37.58807284,71.12274735,288.7476381,85,11,2204,3191,Standard
7401,7401,2342.4125,8,6,10,2,21,19,16.22,249.67,30.78169485,173.338847,320.1207082,70,8,2867,563,Best
3722,3722,12025.25333,7,3,6,5,12,11,16.48,775.02,352.9381413,986.2147095,133.3724825,98,18,1287,470,Good
6111,6111,2540.324167,8,6,18,-100,25,12,8.62,628.61,109.8401065,94.85242222,309.3398879,73,14,1007,2311,Best
3047,3047,1557.944167,7,5,13,6,19,10,13.11,1631.85,54.00609214,97.74351703,294.0448075,74,14,1210,2742,Best
826,826,1313.485833,7,8,23,2,46,11,12.39,2271.53,20.30880921,60.38800088,330.6517732,88,10,4677,3980,Standard
3526,3526,3824.735,3,4,13,3,5,17,13.81,816.11,75.53576697,92.49321517,464.4445179,76,6,4764,4110,Good
1145,1145,2955.613333,8,7,12,3,30,17,1.96,1472.7,73.57946752,200.7867343,291.1951316,72,9,1662,1979,Best
6694,6694,3543.59,9,11,27,6,64,23,20.28,2723.1,137.5839486,206.7282679,290.0467834,73,14,3431,4274,Best
1808,1808,1522.285,2,2,2,3,13,0,7.87,1177.09,51.128519,141.9075016,249.1924794,71,2,1203,4038,Best
2343,2343,4622.49,9,7,25,6,31,14,19.67,1340.92,216.3454218,206.5924047,309.3111734,75,17,4590,1767,Best
4142,4142,938.475,7,1291,29,3,11,20,16.62,2243.41,15.01610936,74.13111288,294.7002778,88,15,1016,4158,Standard
3147,3147,7856.11,3,4,7,2,6,19,4.39,1.48,146.9184195,898.205453,30.4871275,82,16,2454,3300,Best
2660,2660,1587.629167,10,6,34,8,35,19,6.12,1682.62,116.5271836,157.6698546,164.5658785,95,10,1431,377,Standard
1881,1881,393.69875,10,9,19,6,55,19,24.9,3918.55,27.19978741,14.91764803,287.2524396,97,8,4924,4664,Standard
4243,4243,6114.54,6,3,18,33,7,2753,11.25,876.04,205.5930674,369.0550796,316.8058529,77,15,3506,139,Best
1167,1167,3680.97,8,10,17,8,27,16,20.12,2770.15,160.255399,258.1696073,239.6719937,75,8,2605,2153,Best
562,562,1592.647083,1,1,12,2,15,6,-2.11,1463.07,28.21305815,175.843306,245.2083442,98,4,2856,4482,Good
5362,5362,3220.498333,7,5,9,6,9,16,17.97,1224.04,109.8017497,61.07281637,391.1752673,88,18,3646,1476,Best
2673,2673,6185.19,8,3,1,4,23,16,3.07,957.62,244.8885002,132.6435419,480.986958,90,7,2246,3747,Good
7237,7237,1756.453333,8,7,11,7,23,13,16.62,369.64,60.92837781,77.59835616,297.1185994,93,11,3648,4900,Best
3331,3331,2179.297873,1,7,3,4,5,15,1.25,1292.34,257.6197136,58.13927599,336.2893038,70,15,1475,4939,Best
4905,4905,2414.204167,7,4,13,4,15,8,9.39,292.98,95.02278218,30.36906999,356.0285645,72,19,3999,2824,Best
1046,1046,2417.035,3,5,4,1,7,7,5.91,1177.43,22.79977776,118.2999472,370.603775,92,5,4077,4381,Good
5455,5455,4377.0725,232,6,27,6,35,18,9.66,2950.8,154.1724263,177.2983088,366.2365149,70,16,2801,2266,Best
5822,5822,3821.7,9,8,22,7,55,20,17.83,2313.6,195.2402883,130.4259689,316.5037428,74,19,3536,396,Best
451,451,5518.605,1,5,8,3,17,6,3.25,457.81,102.7963086,371.8341314,337.2300599,90,19,4232,1904,Good
6084,6084,10426.13333,7,5,13,2,27,19,11.02,581.65,149.9825159,124.2796159,1008.351202,77,12,3714,674,Best
4631,4631,2235.693333,8,5,9,4,11,13,5.2,865.12,64.49226323,297.0270346,152.0500355,75,16,4294,4823,Best
5918,5918,1388.147917,3,1,2,2,15,0,4.57,730.73,28.23975347,109.2069246,281.3681136,74,15,2448,2563,Best
3056,3056,8176.6175,0,5,1,1,13,-1,2.16,1496.8,67.18817915,330.9367024,669.5368685,85,9,1121,3054,Standard
3263,3263,5232.443333,10,7,33,5,40,18,16.35,1522.0,235.4387879,138.7231199,429.0824256,82,17,4076,4524,Best
4288,4288,2804.7,7,8,16,6,20,21,8.69,1672.39,113.0328529,193.0846431,234.352504,85,16,4264,2768,Standard
3322,3322,3750.2725,7,7,33,2,22,23,10.45,2390.74,64.73305243,101.7461203,458.5480772,71,18,3799,4125,Best
6985,6985,759.9354167,5,6,18,2,22,16,4.21,855.24,16.39534166,50.85376614,298.7444339,74,13,1220,3050,Best
3448,3448,4758.99,7,10,30,-100,16,15,4.04,4569.66,192.165937,119.4445946,414.2884684,81,17,1440,1905,Standard
6535,6535,617.4533333,9,5,22,4,20,12,7.28,1776.8,17.84200816,48.10604654,275.7972786,78,14,4738,2373,Best
31,31,2948.605833,5,5,20,3,17,22,11.0,1328.93,65.00817429,25.19256191,444.6598471,71,17,4617,4940,Best
3928,3928,1156.58,7,7,20,4,31,9,19.6,1461.76,46.00273232,62.86186097,266.7934067,82,17,4533,1282,Best
2128,2128,743.1683333,8,7,17,4,26,9,9.61,1235.11,30.49913716,96.21725352,237.6004427,79,15,1974,2523,Best
4625,4625,1183.864167,7,5,12,2,14,16,8.52,1663.18,41421.0,74.51050362,312.7249545,78,16,1890,3362,Best
6563,6563,8441.59,6,4,17,3,5,14,2.92,1472.89,154.8009425,90.89158754,848.46647,74,17,3483,4987,Best
731,731,2361.11,2,3,12,2,19,2,7.78,343.6,34.16860445,65.3958207,386.5465748,72,17,1801,1980,Best
3646,3646,2541.189167,1,3,11,4,10,2,6.81,647.94,76.53550481,74.1702359,373.413176,95,3,4123,2192,Good
1996,1996,8643.1375,1,3,11,1,15,5,7.2,440.91,49.60886879,606.1593392,478.545542,75,19,3234,3147,Best
3414,3414,3096.836667,2,7,9,4,20,0,7.92,89.93,76.63035384,243.4092037,269.6441091,93,11,4482,191,Standard
4432,4432,1248.130833,6,6,12,3,16,19,2.14,89.62,21.64070671,47.44987295,335.7225037,79,14,1029,1227,Best
7012,7012,938.945,10,9,29,9,48,19,21.77,4716.04,56.01518548,77.21211438,250.6672001,73,18,2228,4733,Best
4110,4110,1480.120833,2,5,7,1,5,9,1.78,1042.25,12.47203031,109.0584192,316.4816338,75,18,1365,2415,Best
1184,1184,989.5945833,8,9,27,2,27,14,18.46,1353.77,9.058562006,26.98604458,342.9148517,92,12,2041,4383,Standard
491,491,2681.166281,2,5,5,3,9,9,9.54,1339.6,204.9179108,112.657468,337.7153405,71,2,4520,3695,Good
7308,7308,2482.155833,5,3,16,2,23,13,15.25,333.02,37.42615839,18.54847965,432.2409453,85,15,2406,529,Best
3508,3508,5009.925,3,7,12,1,21,13,17.88,1153.03,35.11833053,405.0927101,340.7814594,73,14,4440,2798,Best
521,521,2488.9225,3,6,2,4,16,9,3.06,220.33,60.32284544,164.563631,284.0057735,88,15,3897,4593,Standard
5509,5509,1505.155833,8,9,34,7,29,18,20.74,4006.34,75.54384988,124.3709518,240.6007817,74,14,3383,3134,Best
6008,6008,1791.163333,6,5,18,4,14,18,17.39,1266.31,57.41221246,118.8820681,292.8220528,91,15,3751,2330,Best
2574,2574,1239.608333,10,7,27,8,60,24,1.1,1790.35,60.48665095,86.50184709,266.9723353,92,13,4644,495,Standard
1985,1985,4323.128333,6,4,11,3,19,14,5.09,293.88,105.3052898,176.0631504,440.9443931,86,16,3806,2352,Standard
2651,2651,3937.836667,7,6,7,7,25,8,9.25,1017.45,147.6953289,362.0390911,174.0492466,77,17,1621,2133,Best
253,253,2606.105,4,3,6,1,22,18,19.05,635.59,17.69844332,117.0336581,415.8783985,84,7,3571,3208,Standard
7084,7084,5109.225,4,4,13,1,8,19,8.07,693.23,41.26341162,160.8423569,568.8167314,77,13,4652,1572,Best
1239,1239,1978.505,2,6,8,-100,6,6,0.95,284.95,22.09594399,227.7639658,237.9905902,96,0,2323,3006,Good
3161,3161,2813.89,797,5,5,1,-1,9,14.18,94.27,24.02792788,144.019878,393.3411941,90,4,2385,3879,Good
4177,4177,524.9945833,10,8,21,8,45,13,15.48,4507.0,47.29299878,17.85261362,277.3538459,87,19,1455,1533,Best
3041,3041,1380.678333,7,7,21,9,37,19,14.26,4912.8,77.99711822,58.67137766,251.3993375,85,7,2557,221,Standard
8,8,12187.22,1,5,8,3,10,5,7.1,1303.01,246.9923195,430.9475279,810.7821527,98,2,1739,4940,Good
2456,2456,3762.49524,8,7,20,5,51,23,0.59,2457.23,383.17489,109.7703586,374.5752616,73,19,3912,4094,Best
1555,1555,791.4475,8,6,15,2,7,11,13.31,1306.09,14.15012457,20.62842437,314.3662011,72,12,3785,3177,Standard
7072,7072,3427.374167,0,4,11,2,4,4,2.5,46.05,52.52158963,142.3280077,397.8878193,77,17,1306,2066,Best
6354,6354,9225.666667,8,6,19,7,29,14,14.6,642.65,364.2904002,669.8898104,158.386456,78,18,1728,4095,Best
550,550,930.6479167,8,6,16,4,7,15,0.52,117.57,29.48547134,56.64041714,266.9389032,96,16,1514,3302,Good
2470,2470,3888.0925,8,8,34,4,10,10,13.08,2623.14,82.03861836,33.46671899,513.3039127,71,18,4564,964,Best
1149,1149,7000.596667,6,3,14,2,30,20,16.94,902.37,120.1416337,500.0739628,359.8440702,74,17,2859,2824,Best
6462,6462,3750.2725,7,7,33,2,22,24,10.45,2390.74,64.73305243,124.8165406,435.4776569,73,18,4324,4748,Best
1104,1104,1479.253333,6,6,15,4,32,19,12.19,1297.12,44.5354516,106.788971,266.6009107,92,7,3104,246,Standard
964,964,11444.62,4,6,18,2,21,9,1.42,269.46,204.6182236,183.5209924,996.322784,81,8,4126,4568,Standard
3900,3900,6748.156667,3,7,10,4,7,7,6.08,227.12,207.0632974,540.7367882,207.0155811,89,16,3521,3242,Best
4389,4389,5916.66,4,4,17,3,33,12,4.22,1444.26,152.5862814,339.9668285,359.1128901,70,19,2250,2181,Best
7134,7134,1276.394583,7,3,7,4,11,14,11.51,1152.68,35.51308374,104.1382387,277.9881359,73,18,3583,106,Best
20,20,2611.115,8,7,15,3,34,14,21.13,1704.18,70.47833267,220.5521919,260.0809754,87,18,2559,2646,Standard
258,258,5068.38,9,9,18,5,23,17,17.24,3589.56,171.3455597,327.6725748,267.8198654,74,17,3186,1255,Best
3962,3962,6136.948333,3,7,12,1,14,13,11.56,998.81,36.42229863,309.3464247,527.92611,73,18,3263,1522,Best
86,86,959.22875,4,3,10,2,29,17,11.8,1489.49,16.71930023,44.19300345,315.0105713,80,15,2930,3143,Best
3311,3311,3957.75,10,10,21,6,39,17,32.98,4082.37,227.4483415,148.4551793,309.8714792,92,16,2448,3616,Standard
3676,3676,2956.938333,6,5,29,52,56,15,6.46,1747.01,174.0963657,229.6594137,161.9380539,81,8,1757,587,Standard
252,252,2606.105,4,3,6,1,27,18,19.05,635.59,17.69844332,46.78581394,436.1262427,72,18,3870,3819,Best
4400,4400,12222.09,6,6,9,2,27,8,10.92,696.67,235.6388312,472.0175913,794.5525776,99,2,2040,241,Standard
7504,7504,2115.078333,4,6,10,2,9,12,16.43,822.94,41.74919161,30.69486097,379.0637808,79,14,2910,3169,Best
2897,2897,4688.115,7,5,19,4,24,12,11.11,259.63,105.8533062,305.2419862,347.7162076,96,6,3922,2582,Good
4601,4601,5556.57,2,4,7,4,13,1,13.8,593.94,126.4124124,202.9817335,486.262854,74,1,1740,2721,Standard
1618,1618,1871.992083,2,3,9,1,7,5,1.76,166.25,11.55616488,111.4986588,344.1443847,93,1,2245,3061,Good
5119,5119,2902.324167,0,4,1,2,23,10,6.47,1195.96,46.4591139,57.62669806,446.1466047,88,15,4805,2039,Best
3083,3083,5616.805,6,3,11,4,22,19,13.53,1494.35,113.2757624,512.3508446,226.053893,84,13,4182,276,Standard
5690,5690,1039.784167,8,5,7,3,19,22,16.33,1269.87,25.04855436,114.500086,254.4297763,72,17,4586,1586,Best
3798,3798,5710.231667,1,3,12,2,13,5,11.07,1171.73,68.54205265,107.905687,644.575427,93,2,4260,2175,Good
917,917,1043.306667,3,6,7,2,19,13,19.08,1574.91,21.35618485,101.084499,271.8899828,72,15,4086,4849,Best
6866,6866,2427.606667,9,7,19,3,41,18,13.97,1819.09,65.64066392,54.4318131,372.6881896,75,17,3405,3361,Best
4036,4036,1415.9,10,8,23,6,62,21,18.3,2289.44,49.17021728,82.07246915,280.3473136,93,18,3165,3265,Standard
936,936,4870.003333,9,7,23,6,35,23,9.05,3825.82,183.8344311,273.5780408,289.5878614,86,15,3346,2401,Standard
1679,1679,2497.9225,4,7,2,2,1,15,6.36,1015.21,44.40179012,51.69092123,403.6995387,71,14,3438,4314,Best
4868,4868,4769.945,4,7,6,4,4,15,0.07,600.73,112.4468549,209.9700162,414.577629,71,17,1245,810,Best
7115,7115,1978.269167,8,3,15,6,15,11,14.73,575.92,59.28691589,162.0027912,266.5372096,80,18,1661,375,Best
6092,6092,1527.514583,4,3,6,1,16,15,9.22,9.7,24995.0,186.0971587,245.7392298,82,17,3787,1743,Best
1466,1466,1284.7625,7,9,26,3,39,10,13.76,2362.17,41.13252739,52.21254354,315.1311791,71,11,3483,4189,Standard
1452,1452,2968.080159,9,10,17,6,30,19,24.4,3581.79,479.2612402,255.2793522,178.4410815,89,8,4919,834,Standard
4656,4656,917.6429167,5,6,11,6,25,17,17.41,1147.49,33.1224541,41.21578937,307.4260482,78,18,4258,1575,Best
4619,4619,4802.0675,5,7,8,3,15,11,10.12,1421.95,112.1915134,279.5185052,358.4967314,78,16,2802,3078,Best
5964,5964,888.56375,5,7,5,3,31,11,16.17,1426.95,14.96569468,74.6400761,289.2506042,78,16,3900,2836,Best
3384,3384,4973.581667,4,6,3,4,18,0,6.92,726.6,180.8102948,493.0593939,103.4884779,86,9,3450,4030,Standard
