Property_Type,Property_Area,Number_of_Windows,Number_of_Doors,Furnishing,Frequency_of_Powercuts,Power_Backup,Water_Supply,Traffic_Density_Score,Crime_Rate,Dust_and_Noise,Air_Quality_Index,Neighborhood_Review,aqi_range
0,604,3,3,1,0,0,3,6.5,0,1,157,4.72,3
1,1431,2,1,0,0,1,3,8.3,1,2,152,4.02,3
1,1906,2,1,1,0,0,1,5.24,1,1,119,3.52,2
3,4244,9,3,0,1,0,2,6.39,0,1,129,2.55,2
0,811,1,2,1,0,0,0,7.33,1,1,140,3.16,2
2,415,4,1,1,1,0,3,4.33,1,1,95,3.55,1
3,3638,9,3,0,2,1,2,7.32,0,1,150,3.15,2
0,171,3,3,0,1,0,3,6.87,0,1,80,4.18,1
0,239,3,2,1,0,0,3,6.45,0,1,100,4.79,1
1,1434,4,3,1,1,0,3,6.56,0,1,124,4.13,2
0,824,1,2,2,2,0,3,7.26,0,1,150,3.46,2
0,176,1,3,0,0,1,2,8.52,0,2,187,4.29,3
0,373,3,3,1,0,0,1,5.63,1,1,85,3.56,1
5,1619,2,4,2,0,0,3,4.94,2,1,118,3.52,2
1,1913,5,1,1,1,0,-1,5.01,0,1,91,3.87,1
0,204,1,2,1,1,0,2,6.82,0,1,247,3.77,4
1,1710,4,4,2,0,0,2,7.54,0,1,135,4.42,2
4,309,2,1,1,0,0,1,5.86,1,1,117,3.51,2
4,236,2,2,2,1,0,0,4.71,1,1,114,2.58,2
0,474,2,2,0,1,0,3,5.48,1,0,92,3.55,1
1,1344,2,4,0,0,0,2,3.33,1,0,24,4.02,0
1,1107,2,4,1,0,0,1,6.71,0,1,129,4.12,2
0,207,2,2,1,0,0,3,7.7,0,1,160,4.7,3
4,330,1,1,1,0,1,3,5.86,0,1,114,4.77,2
1,1365,5,2,2,0,0,1,5.2,2,0,114,2.96,2
1,1201,5,2,0,0,1,2,6.56,0,1,131,4.43,2
2,916,6,3,0,0,0,3,4.6,1,1,97,4.18,1
0,386,3,1,0,2,0,3,5.19,2,1,115,2.27,2
1,1425,3,2,1,0,-1,3,7.01,1,1,154,4.09,3
1,23693,2,2,2,0,0,2,6.65,0,1,152,4.41,3
1,2141,2,3,1,3,0,3,5.78,0,1,103,2.91,2
1,2209,3,3,1,0,1,2,5.87,1,1,95,3.86,1
1,1842,4,2,1,0,1,3,7.96,0,1,169,4.06,3
1,1507,5,2,1,0,0,2,6.34,0,1,161,4.4,3
0,516,1,3,2,0,0,2,5.4,1,0,87,3.87,1
2,966,5,1,1,1,0,3,6.78,1,1,159,3.46,3
4,269,1,1,0,0,0,3,7.06,0,1,151,4.72,3
0,178,4,3,1,0,0,2,6.66,0,0,150,4.47,2
0,175,2,1,2,0,0,1,4.62,2,1,110,2.9,2
2,994,4,2,1,1,0,3,7.78,2,1,121,2.87,2
2,886,6,3,1,1,1,3,5.76,2,1,89,2.92,1
0,621,1,2,1,0,1,3,6.1,1,1,119,4.14,2
5,1048,6,2,0,1,0,3,6.93,0,1,87,4.17,1
0,8403,3,2,1,1,0,2,6.8,2,1,114,2.57,2
2,673,7,1,0,0,0,3,7.11,0,1,98,4.79,1
1,1261,4,2,1,0,0,1,6.06,1,1,152,3.47,3
0,448,4,3,0,0,0,1,2.76,0,0,45,4.31,0
0,119,3,3,2,0,0,3,4.18,1,1,119,4.15,2
5,1646,2,3,1,0,0,1,6.45,1,1,128,3.5,2
4,414,3,2,1,0,0,3,7.38,0,1,152,4.72,3
0,773,1,3,1,0,0,2,5.85,0,1,111,4.46,2
0,668,4,3,1,0,1,2,7.28,1,1,143,3.79,2
0,998,4,1,0,0,0,3,7.65,1,1,148,4.09,2
1,1635,2,1,0,1,0,3,5.56,1,1,88,3.55,1
1,1328,4,4,0,0,0,1,4.95,0,1,107,4.16,2
1,1611,2,1,1,0,0,1,7.26,2,1,96,2.9,1
0,157,4,2,1,0,0,3,6.56,0,1,110,4.77,2
0,484,4,1,0,1,0,2,4.43,0,0,98,3.92,1
0,802,1,2,1,0,0,2,6.0,1,1,153,3.78,3
2,664,5,3,1,0,0,3,5.92,0,1,91,4.8,1
2,10867,5,2,0,0,1,3,7.94,3,1,134,2.85,2
2,1048,4,3,0,0,0,3,4.86,2,1,118,3.52,2
0,297,4,1,0,0,1,0,6.61,0,1,124,3.81,2
0,324,4,1,0,1,1,3,8.56,0,2,169,4.0,3
1,1948,2,2,0,1,1,3,5.59,2,1,104,2.91,2
0,428,3,1,1,0,0,2,6.62,1,1,139,3.8,2
1,1357,4,2,1,0,0,1,7.41,0,1,137,4.11,2
3,3718,15,4,1,1,0,3,7.92,0,1,88,4.17,1
1,2299,4,2,0,0,0,2,5.88,1,1,83,3.87,1
1,1763,3,4,2,0,0,2,9.34,0,2,129,4.36,2
1,1658,5,3,1,3,0,2,7.6,0,1,128,2.55,2
2,1103,4,1,1,1,0,3,6.62,2,1,154,2.84,3
2,1283,5,3,0,0,1,3,6.19,1,1,85,4.18,1
2,623,4,2,1,3,0,3,6.1,0,1,81,2.93,1
1,1749,5,2,0,0,0,1,6.69,0,1,124,4.13,2
1,1962,3,2,1,1,1,3,6.36,1,1,144,3.48,2
1,1322,4,1,1,0,0,3,4.54,0,1,89,4.81,1
1,1767,4,4,0,1,0,2,5.67,1,1,84,3.24,1
0,344,2,3,1,0,0,2,5.44,1,1,118,3.83,2
1,1502,4,2,0,2,0,3,6.4,1,1,83,2.93,1
0,197,2,2,0,0,-1,1,3.88,0,0,49,4.3,0
0,825,3,1,1,0,0,3,5.82,0,1,100,4.79,1
1,1269,5,1,0,0,0,2,7.49,2,1,143,3.16,2
2,987,6,2,1,0,0,0,6.22,0,1,98,3.85,1
0,479,4,1,0,1,0,1,7.37,0,1,152,3.46,3
0,447,2,1,1,1,1,3,7.35,0,1,152,4.09,3
2,431,4,1,1,1,0,3,5.56,0,1,107,4.16,2
1,1259,2,2,1,1,0,3,7.38,0,1,105,4.15,2
1,1156,2,4,1,0,0,0,6.82,0,1,119,3.82,2
2,921,7,2,2,1,-1,1,4.22,1,1,119,2.89,2
4,403,3,1,1,0,0,2,6.1,1,1,131,3.81,2
1,2047,4,1,1,0,1,3,6.77,1,1,94,4.17,1
1,1790,4,1,2,0,0,2,4.19,2,1,117,3.21,2
0,151,1,3,2,2,0,0,4.94,1,1,91,1.98,1
3,2218,9,3,0,1,0,0,2.52,0,0,34,3.39,0
1,1677,3,2,1,1,1,2,6.58,0,1,156,3.77,3
0,215,4,1,1,0,0,2,5.68,0,1,93,4.49,1
2,588,7,2,2,0,1,3,7.86,0,1,157,4.08,3
1,1788,4,1,1,0,0,3,4.75,1,0,101,4.23,2
4,269,3,1,2,0,0,1,7.86,1,1,112,3.51,2
0,165,3,2,0,2,1,1,6.79,0,1,117,2.88,2
1,1632,2,3,0,1,0,1,5.5,2,0,82,2.31,1
0,708,2,3,1,0,0,1,5.53,1,1,112,3.52,2
3,4005,14,5,1,0,0,3,6.65,0,1,121,4.76,2
4,391,0,1,0,0,1,1,9.49,1,2,157,3.38,3
0,540,2,3,2,0,0,3,3.39,0,0,71,4.91,1
1,2185,5,1,1,0,0,2,4.22,0,1,117,4.47,2
4,337,3,1,2,2,0,3,5.94,1,1,101,2.91,2
1,1948,4,4,2,3,0,1,6.13,0,1,109,2.27,2
3,3237,7,3,0,0,0,3,6.54,2,1,83,3.55,1
1,1365,2,3,0,0,0,3,7.27,0,1,134,4.11,2
0,880,3,2,1,1,1,3,6.23,0,1,156,4.09,3
1,1559,2,4,0,1,0,1,5.55,1,1,111,2.9,2
3,3940,8,3,2,0,0,0,3.76,1,0,84,3.32,1
0,950,2,1,1,0,0,3,7.0,1,1,163,4.08,3
0,620,1,3,1,0,0,2,5.4,0,1,95,4.49,1
1,1517,5,2,1,1,0,3,8.67,2,2,181,2.73,3
4,396,1,1,1,0,0,3,6.87,0,1,85,4.18,1
2,1079,5,1,2,1,0,3,6.74,0,1,109,4.15,2
0,220,3,3,1,2,0,3,4.83,1,1,114,2.9,2
0,269,3,1,0,1,0,3,8.43,3,2,194,2.08,3
1,2077,3,1,1,0,0,2,6.86,2,1,162,3.14,3
1,1522,5,3,1,0,0,3,5.05,1,1,115,4.15,2
0,303,4,2,1,1,1,2,4.17,1,1,110,3.22,2
2,1000,5,3,0,2,1,3,6.15,2,1,107,2.27,2
0,474,1,2,1,0,0,1,5.3,0,1,98,4.17,1
1,1645,4,4,1,0,0,1,6.48,0,1,133,4.12,2
0,641,3,2,1,1,0,2,5.98,1,1,83,3.24,1
4,289,0,1,2,0,0,2,5.85,1,1,83,3.87,1
0,368,4,2,1,0,0,3,6.28,0,1,143,4.73,2
3,3662,12,5,0,0,0,1,6.12,0,1,123,4.13,2
2,1041,6,3,0,0,0,3,7.99,0,1,153,4.71,3
1,1669,5,1,1,2,1,1,6.16,2,1,119,1.63,2
0,330,2,3,1,0,0,2,5.5,0,1,92,3.86,1
1,1294,3,2,0,0,1,2,6.17,0,1,159,4.4,3
0,357,2,2,0,0,0,0,7.74,3,1,167,1.87,3
4,340,0,1,2,1,1,1,6.67,0,1,107,3.52,2
1,2039,4,1,0,0,0,3,5.44,2,2,81,3.5,1
3,3968,9,2,1,2,0,3,5.01,2,1,118,2.26,2
0,445,2,2,1,1,0,3,4.54,0,1,115,4.15,2
2,1007,4,2,2,1,-1,3,5.64,1,1,87,3.55,1
1,1828,5,3,1,1,0,1,8.09,0,2,183,3.36,3
5,210,1,1,1,0,0,3,5.77,1,1,118,4.14,2
2,670,7,2,1,1,0,2,8.4,3,2,167,1.8,3
1,1340,3,3,2,0,0,3,7.63,0,1,170,4.69,3
3,3774,14,6,0,0,0,3,5.49,1,1,82,4.19,1
0,814,2,1,2,1,0,3,5.99,0,2,94,4.11,1
0,618,2,3,1,1,0,3,7.34,2,1,101,2.9,2
1,1686,4,1,0,1,0,3,6.58,1,1,88,3.55,1
3,1844,7,2,0,0,0,0,6.08,0,1,106,3.84,2
0,236,3,2,1,0,0,1,6.89,1,1,148,3.47,2
0,608,3,1,1,0,0,2,7.05,0,1,148,4.41,2
0,934,2,3,0,0,0,1,6.61,0,1,121,4.13,2
0,622,2,3,1,1,-1,2,7.98,0,1,528,3.77,5
2,1270,6,1,1,0,-1,1,7.32,0,1,134,4.11,2
1,2152,4,2,2,1,0,3,7.15,1,2,84,3.49,1
1,1867,3,3,1,0,0,1,6.11,2,1,121,2.88,2
1,1625,2,2,1,1,0,3,6.87,0,1,102,4.15,2
1,1548,4,4,1,0,1,1,6.45,0,1,151,4.1,3
1,1480,4,3,1,0,1,3,8.44,0,2,161,4.64,3
2,1126,4,2,1,1,0,3,4.96,1,1,113,3.53,2
1,1653,5,1,2,0,0,3,2.93,0,0,5,4.99,0
1,1244,4,4,0,0,0,3,5.9,2,1,95,3.54,1
1,1351,3,2,1,3,0,2,7.73,1,1,123,1.93,2
1,1505,3,1,2,2,0,3,5.28,1,1,91,2.92,1
5,626,4,1,0,0,0,3,8.32,1,2,166,4.0,3
2,495,6,3,1,0,0,3,5.66,0,1,97,4.8,1
0,663,3,3,0,1,0,3,5.11,1,1,115,3.52,2
3,2514,9,2,0,0,0,3,6.76,1,1,153,4.09,3
4,423,2,2,2,0,0,1,7.1,0,1,107,4.15,2
0,479,1,2,0,1,0,2,7.46,0,1,111,3.83,2
0,692,1,1,0,0,0,3,7.48,0,1,95,4.79,1
0,171,4,2,1,0,0,0,7.33,0,1,169,3.75,3
3,4230,15,5,0,0,0,-1,4.85,1,1,80,3.88,1
1,1880,4,1,0,0,0,2,6.84,0,1,127,4.44,2
3,2509,13,5,1,1,1,3,6.96,0,1,109,4.15,2
0,488,2,2,1,0,1,3,6.58,0,1,169,4.7,3
1,1546,2,2,2,0,0,2,7.63,0,1,145,4.41,2
0,731,4,3,0,3,0,3,4.41,1,1,98,2.29,1
0,746,2,2,1,0,0,3,6.98,1,1,85,4.18,1
1,1246,4,4,1,0,0,3,6.03,3,1,157,2.84,3
4,251,2,2,1,0,1,2,3.49,0,0,42,4.63,0
1,2088,5,1,1,1,0,3,4.25,2,1,97,2.92,1
1,2291,3,4,2,0,0,1,6.28,0,1,101,4.16,2
4,263,2,1,2,1,0,2,6.1,0,1,104,3.84,2
0,484,1,3,1,0,1,0,5.64,1,1,81,3.25,1
0,435,3,3,1,1,0,2,7.11,3,1,139,1.91,2
2,1271,4,2,1,2,0,3,4.56,2,1,109,2.28,2
0,10970,2,3,1,0,1,0,3.08,3,0,1,2.17,0
3,2555,10,2,2,0,1,2,8.04,2,2,125,3.11,2
2,923,6,3,2,0,0,3,6.27,2,1,123,3.5,2
1,1113,4,3,1,0,1,0,5.74,0,1,110,3.84,2
2,848,5,3,1,0,0,3,7.0,1,1,96,4.16,1
4,451,0,1,1,1,1,3,7.48,0,1,106,4.15,2
1,1133,5,3,0,0,0,3,7.44,0,1,143,4.73,2
1,1796,2,1,2,0,0,3,7.14,0,1,161,4.71,3
0,602,2,3,1,0,0,2,4.78,1,1,89,3.24,1
0,627,1,1,2,0,0,2,6.55,0,1,139,4.42,2
0,292,2,1,2,1,1,2,6.14,0,2,153,3.78,3
0,799,4,2,1,1,0,3,7.92,0,1,141,4.1,2
2,1011,5,1,2,0,0,3,7.14,1,1,122,4.13,2
1,1966,5,1,2,1,0,3,5.68,1,1,105,3.53,2
3,3180,14,5,0,0,0,3,6.62,3,1,97,2.91,1
1,1869,2,1,1,0,1,1,4.77,1,1,119,3.52,2
0,484,3,3,2,0,-1,1,6.0,2,1,87,2.92,1
1,1867,4,4,0,0,0,2,5.93,1,1,120,3.82,2
3,3276,9,3,1,0,0,3,7.15,0,1,93,4.79,1
0,240,4,2,0,0,0,1,6.04,2,1,158,2.83,3
2,598,4,3,1,1,0,1,5.58,1,1,94,2.92,1
1,1330,3,1,1,1,1,1,6.87,0,1,140,3.48,2
0,778,4,3,0,0,0,2,8.12,0,2,132,4.36,2
0,841,1,2,1,1,1,3,7.87,0,0,96,4.22,1
2,1176,5,3,0,1,0,1,7.06,0,1,90,3.54,1
0,784,3,3,1,0,0,2,6.07,0,1,143,4.42,2
1,1219,2,3,1,0,1,3,7.98,2,1,152,3.46,3
0,320,2,1,0,0,1,3,7.52,2,1,105,3.52,2
2,628,4,3,1,2,1,0,7.36,0,1,121,2.56,2
2,634,4,1,1,2,0,2,6.13,3,1,168,1.25,3
3,3909,15,2,2,0,0,1,5.94,2,1,103,2.9,2
2,565,4,3,1,0,0,2,6.43,0,1,101,4.47,2
0,150,2,3,1,1,0,2,7.2,3,1,116,1.94,2
0,15881,4,3,1,1,0,3,7.43,1,1,129,3.49,2
2,807,5,2,1,0,0,2,6.47,2,1,146,3.16,2
4,381,0,1,1,1,0,2,7.88,1,1,89,3.22,1
0,472,3,1,1,2,0,1,3.04,3,0,24,1.2,0
0,233,4,2,1,1,0,3,6.4,0,1,155,4.09,3
1,1704,2,3,0,0,1,3,4.78,1,1,857,4.17,5
1,1623,2,1,0,0,0,2,7.73,0,1,144,4.41,2
1,1515,4,4,1,2,0,3,6.72,0,1,168,3.45,3
3,21740,12,2,0,1,0,0,6.23,0,1,104,3.21,2
3,2507,9,6,1,0,0,3,5.68,2,1,95,3.54,1
3,3660,4,4,0,0,-1,2,6.01,1,1,83,3.87,1
0,773,2,1,1,0,0,1,5.89,1,1,106,3.53,2
0,419,1,3,0,1,0,3,5.94,1,1,89,3.55,1
4,229,2,2,2,1,0,2,6.79,3,1,138,1.91,2
0,442,4,2,1,1,1,3,6.59,0,1,103,4.16,2
0,741,4,1,1,0,1,1,4.11,1,1,89,3.56,1
2,876,5,2,0,0,0,2,7.98,0,1,85,4.48,1
1,2038,3,3,1,0,0,3,8.09,0,2,163,4.64,3
2,990,4,1,1,0,1,1,7.57,0,1,109,4.14,2
1,1482,3,4,1,0,1,2,7.55,0,1,111,4.45,2
1,1808,4,3,2,0,0,1,7.99,1,1,126,3.43,2
1,2270,5,2,0,1,0,3,7.84,0,1,83,4.17,1
0,628,3,1,0,1,1,3,6.2,0,1,100,4.16,1
1,1377,5,3,0,1,1,2,7.97,1,1,157,3.14,3
4,427,1,2,1,0,0,3,6.87,1,1,160,4.08,3
2,1075,7,1,2,0,0,3,6.05,1,1,156,4.09,3
0,617,4,3,2,1,0,3,6.25,1,1,134,3.49,2
1,1228,5,3,1,0,1,2,5.92,0,1,85,4.5,1
1,1348,4,2,2,3,0,3,7.78,0,1,107,2.89,2
1,1553,3,2,0,0,0,2,8.75,2,2,125,3.11,2
0,434,3,1,2,0,0,2,5.85,1,0,82,3.87,1
4,469,3,1,1,3,0,3,5.99,1,1,103,2.28,2
0,476,1,1,1,0,0,3,7.2,0,1,100,4.78,1
0,683,1,2,1,0,0,3,7.75,0,1,132,4.74,2
0,951,4,3,2,0,1,2,6.44,0,1,99,4.47,1
