energy,hour,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear
1321.0395,16,3,1,3,2008,66,6,10
1325.6415,17,3,1,3,2008,66,6,10
1315.464,18,3,1,3,2008,66,6,10
1306.7025,19,3,1,3,2008,66,6,10
1364.847,20,3,1,3,2008,66,6,10
1389.981,21,3,1,3,2008,66,6,10
1350.4215,22,3,1,3,2008,66,6,10
1263.072,23,3,1,3,2008,66,6,10
1172.5365,0,4,1,3,2008,67,7,10
1104.8339999999998,1,4,1,3,2008,67,7,10
1066.779,2,4,1,3,2008,67,7,10
1039.4325,3,4,1,3,2008,67,7,10
1040.4945,4,4,1,3,2008,67,7,10
1065.6285,5,4,1,3,2008,67,7,10
1134.8355,6,4,1,3,2008,67,7,10
1273.869,7,4,1,3,2008,67,7,10
1368.4755,8,4,1,3,2008,67,7,10
1370.688,9,4,1,3,2008,67,7,10
1379.2725,10,4,1,3,2008,67,7,10
1380.3345,11,4,1,3,2008,67,7,10
1373.0775,12,4,1,3,2008,67,7,10
1372.458,13,4,1,3,2008,67,7,10
1375.9095,14,4,1,3,2008,67,7,10
1373.697,15,4,1,3,2008,67,7,10
1356.9705,16,4,1,3,2008,67,7,10
1351.041,17,4,1,3,2008,67,7,10
1325.022,18,4,1,3,2008,67,7,10
1331.217,19,4,1,3,2008,67,7,10
1393.167,20,4,1,3,2008,67,7,10
1406.5304999999998,21,4,1,3,2008,67,7,10
1363.5195,22,4,1,3,2008,67,7,10
1270.7714999999998,23,4,1,3,2008,67,7,10
1174.4835,0,5,1,3,2008,68,8,10
1103.418,1,5,1,3,2008,68,8,10
1066.071,2,5,1,3,2008,68,8,10
1039.7865,3,5,1,3,2008,68,8,10
1042.884,4,5,1,3,2008,68,8,10
1054.8315,5,5,1,3,2008,68,8,10
1115.985,6,5,1,3,2008,68,8,10
1257.4965,7,5,1,3,2008,68,8,10
1348.6515,8,5,1,3,2008,68,8,10
1353.7845,9,5,1,3,2008,68,8,10
1365.4665,10,5,1,3,2008,68,8,10
1375.7324999999998,11,5,1,3,2008,68,8,10
1379.361,12,5,1,3,2008,68,8,10
1382.9009999999998,13,5,1,3,2008,68,8,10
1389.7155,14,5,1,3,2008,68,8,10
1385.1135,15,5,1,3,2008,68,8,10
1372.989,16,5,1,3,2008,68,8,10
1360.1564999999998,17,5,1,3,2008,68,8,10
1337.7659999999998,18,5,1,3,2008,68,8,10
1321.3049999999998,19,5,1,3,2008,68,8,10
1355.3774999999998,20,5,1,3,2008,68,8,10
1351.395,21,5,1,3,2008,68,8,10
1308.4725,22,5,1,3,2008,68,8,10
1236.9645,23,5,1,3,2008,68,8,10
1159.6155,0,6,1,3,2008,69,9,10
1080.939,1,6,1,3,2008,69,9,10
1026.3345,2,6,1,3,2008,69,9,10
997.6605,3,6,1,3,2008,69,9,10
984.0315,4,6,1,3,2008,69,9,10
979.164,5,6,1,3,2008,69,9,10
1005.006,6,6,1,3,2008,69,9,10
1038.3705,7,6,1,3,2008,69,9,10
1105.8075,8,6,1,3,2008,69,9,10
1156.0755,9,6,1,3,2008,69,9,10
1206.255,10,6,1,3,2008,69,9,10
1224.84,11,6,1,3,2008,69,9,10
1230.5925,12,6,1,3,2008,69,9,10
1222.893,13,6,1,3,2008,69,9,10
1217.1405,14,6,1,3,2008,69,9,10
1210.1798173323866,15,6,1,3,2008,69,9,10
1199.2635,16,6,1,3,2008,69,9,10
1195.5465,17,6,1,3,2008,69,9,10
1194.573,18,6,1,3,2008,69,9,10
1199.7945,19,6,1,3,2008,69,9,10
1249.797,20,6,1,3,2008,69,9,10
1247.319,21,6,1,3,2008,69,9,10
1203.6,22,6,1,3,2008,69,9,10
1146.606,23,6,1,3,2008,69,9,10
1070.496,0,0,1,3,2008,70,10,11
997.4756495525609,1,0,1,3,2008,70,10,11
954.207,2,0,1,3,2008,70,10,11
936.33,3,0,1,3,2008,70,10,11
924.471,4,0,1,3,2008,70,10,11
922.701,5,0,1,3,2008,70,10,11
926.418,6,0,1,3,2008,70,10,11
961.287,7,0,1,3,2008,70,10,11
995.625,8,0,1,3,2008,70,10,11
1046.3355,9,0,1,3,2008,70,10,11
1094.037,10,0,1,3,2008,70,10,11
1122.357,11,0,1,3,2008,70,10,11
1135.0125,12,0,1,3,2008,70,10,11
1144.3935,13,0,1,3,2008,70,10,11
1151.8275,14,0,1,3,2008,70,10,11
1147.5795,15,0,1,3,2008,70,10,11
1146.429,16,0,1,3,2008,70,10,11
1153.2435,17,0,1,3,2008,70,10,11
1162.5359999999998,18,0,1,3,2008,70,10,11
1172.3595,19,0,1,3,2008,70,10,11
1244.841,20,0,1,3,2008,70,10,11
1253.337,21,0,1,3,2008,70,10,11
1218.645,22,0,1,3,2008,70,10,11
1159.2614999999998,23,0,1,3,2008,70,10,11
1092.621,0,1,1,3,2008,71,11,11
1053.7695,1,1,1,3,2008,71,11,11
1027.839,2,1,1,3,2008,71,11,11
1024.9185,3,1,1,3,2008,71,11,11
1018.989,4,1,1,3,2008,71,11,11
1040.8485,5,1,1,3,2008,71,11,11
1111.383,6,1,1,3,2008,71,11,11
1248.1155,7,1,1,3,2008,71,11,11
1352.0145,8,1,1,3,2008,71,11,11
1364.7585,9,1,1,3,2008,71,11,11
1371.8384999999998,10,1,1,3,2008,71,11,11
1381.3964999999998,11,1,1,3,2008,71,11,11
1376.529,12,1,1,3,2008,71,11,11
1359.8909999999998,13,1,1,3,2008,71,11,11
1359.8025,14,1,1,3,2008,71,11,11
1360.245,15,1,1,3,2008,71,11,11
1346.7044999999998,16,1,1,3,2008,71,11,11
1339.2705,17,1,1,3,2008,71,11,11
1332.7215,18,1,1,3,2008,71,11,11
1338.828,19,1,1,3,2008,71,11,11
1415.5575,20,1,1,3,2008,71,11,11
1414.3185,21,1,1,3,2008,71,11,11
1364.4045,22,1,1,3,2008,71,11,11
1275.9045,23,1,1,3,2008,71,11,11
1186.077,0,2,1,3,2008,72,12,11
1116.693,1,2,1,3,2008,72,12,11
1086.5145,2,2,1,3,2008,72,12,11
1066.5135,3,2,1,3,2008,72,12,11
1066.602,4,2,1,3,2008,72,12,11
1083.1515,5,2,1,3,2008,72,12,11
1156.8719999999998,6,2,1,3,2008,72,12,11
1299.6225,7,2,1,3,2008,72,12,11
1396.884,8,2,1,3,2008,72,12,11
1402.8135,9,2,1,3,2008,72,12,11
1402.371,10,2,1,3,2008,72,12,11
1392.105,11,2,1,3,2008,72,12,11
1376.2635,12,2,1,3,2008,72,12,11
1370.3339999999998,13,2,1,3,2008,72,12,11
1370.0685,14,2,1,3,2008,72,12,11
1361.2185,15,2,1,3,2008,72,12,11
1357.8555,16,2,1,3,2008,72,12,11
1347.9435,17,2,1,3,2008,72,12,11
1338.0314999999998,18,2,1,3,2008,72,12,11
1356.9705,19,2,1,3,2008,72,12,11
1422.018,20,2,1,3,2008,72,12,11
1421.9295,21,2,1,3,2008,72,12,11
1374.2279999999998,22,2,1,3,2008,72,12,11
1289.0024999999998,23,2,1,3,2008,72,12,11
1191.6525,0,3,1,3,2008,73,13,11
1124.304,1,3,1,3,2008,73,13,11
1085.0984999999998,2,3,1,3,2008,73,13,11
1059.345,3,3,1,3,2008,73,13,11
1049.787,4,3,1,3,2008,73,13,11
1054.743,5,3,1,3,2008,73,13,11
1111.6485,6,3,1,3,2008,73,13,11
1246.434,7,3,1,3,2008,73,13,11
1339.6245,8,3,1,3,2008,73,13,11
1343.1645,9,3,1,3,2008,73,13,11
1346.1735,10,3,1,3,2008,73,13,11
1363.785,11,3,1,3,2008,73,13,11
1367.9444999999998,12,3,1,3,2008,73,13,11
1361.7495,13,3,1,3,2008,73,13,11
1375.29,14,3,1,3,2008,73,13,11
1359.537,15,3,1,3,2008,73,13,11
1349.448,16,3,1,3,2008,73,13,11
1351.1295,17,3,1,3,2008,73,13,11
1357.7669999999998,18,3,1,3,2008,73,13,11
1377.945,19,3,1,3,2008,73,13,11
1428.0359999999998,20,3,1,3,2008,73,13,11
1413.6105,21,3,1,3,2008,73,13,11
1367.9444999999998,22,3,1,3,2008,73,13,11
1275.0195,23,3,1,3,2008,73,13,11
1194.927,0,4,1,3,2008,74,14,11
1122.6225,1,4,1,3,2008,74,14,11
1079.9655,2,4,1,3,2008,74,14,11
1048.6364999999998,3,4,1,3,2008,74,14,11
1039.344,4,4,1,3,2008,74,14,11
1059.876,5,4,1,3,2008,74,14,11
1112.445,6,4,1,3,2008,74,14,11
1248.735,7,4,1,3,2008,74,14,11
1353.2535,8,4,1,3,2008,74,14,11
1367.7675,9,4,1,3,2008,74,14,11
1376.883,10,4,1,3,2008,74,14,11
1378.1219999999998,11,4,1,3,2008,74,14,11
1380.8655,12,4,1,3,2008,74,14,11
1375.29,13,4,1,3,2008,74,14,11
1377.237,14,4,1,3,2008,74,14,11
1360.5105,15,4,1,3,2008,74,14,11
1346.5275,16,4,1,3,2008,74,14,11
1340.5095,17,4,1,3,2008,74,14,11
1343.4299999999998,18,4,1,3,2008,74,14,11
1363.254,19,4,1,3,2008,74,14,11
1427.4164999999998,20,4,1,3,2008,74,14,11
1410.6899999999998,21,4,1,3,2008,74,14,11
1368.564,22,4,1,3,2008,74,14,11
1287.144,23,4,1,3,2008,74,14,11
1200.414,0,5,1,3,2008,75,15,11
1129.791,1,5,1,3,2008,75,15,11
1076.0715,2,5,1,3,2008,75,15,11
1059.522,3,5,1,3,2008,75,15,11
1050.2295,4,5,1,3,2008,75,15,11
1063.8585,5,5,1,3,2008,75,15,11
1122.888,6,5,1,3,2008,75,15,11
1245.3719999999998,7,5,1,3,2008,75,15,11
1342.4565,8,5,1,3,2008,75,15,11
1363.8735,9,5,1,3,2008,75,15,11
1379.184,10,5,1,3,2008,75,15,11
1393.875,11,5,1,3,2008,75,15,11
1399.185,12,5,1,3,2008,75,15,11
1398.654,13,5,1,3,2008,75,15,11
1391.043,14,5,1,3,2008,75,15,11
1382.1045,15,5,1,3,2008,75,15,11
1365.024,16,5,1,3,2008,75,15,11
1357.3245,17,5,1,3,2008,75,15,11
1367.7675,18,5,1,3,2008,75,15,11
1379.715,19,5,1,3,2008,75,15,11
1402.548,20,5,1,3,2008,75,15,11
1376.6174999999998,21,5,1,3,2008,75,15,11
1341.837,22,5,1,3,2008,75,15,11
1286.6129999999998,23,5,1,3,2008,75,15,11
1201.299,0,6,1,3,2008,76,16,11
1130.9415,1,6,1,3,2008,76,16,11
1085.9835,2,6,1,3,2008,76,16,11
1063.416,3,6,1,3,2008,76,16,11
1052.265,4,6,1,3,2008,76,16,11
1052.7075,5,6,1,3,2008,76,16,11
1073.2395,6,6,1,3,2008,76,16,11
1117.578,7,6,1,3,2008,76,16,11
1183.8645,8,6,1,3,2008,76,16,11
1244.487,9,6,1,3,2008,76,16,11
1290.0645,10,6,1,3,2008,76,16,11
1305.8175,11,6,1,3,2008,76,16,11
1301.0385,12,6,1,3,2008,76,16,11
1274.4,13,6,1,3,2008,76,16,11
1252.7175,14,6,1,3,2008,76,16,11
1239.6195,15,6,1,3,2008,76,16,11
1223.2469999999998,16,6,1,3,2008,76,16,11
1215.9015,17,6,1,3,2008,76,16,11
1225.2825,18,6,1,3,2008,76,16,11
1249.8855,19,6,1,3,2008,76,16,11
1309.1805,20,6,1,3,2008,76,16,11
1300.8615,21,6,1,3,2008,76,16,11
1272.1875,22,6,1,3,2008,76,16,11
1226.1675,23,6,1,3,2008,76,16,11
1160.1464999999998,0,0,1,3,2008,77,17,12
1097.4,1,0,1,3,2008,77,17,12
1070.673,2,0,1,3,2008,77,17,12
1059.876,3,0,1,3,2008,77,17,12
1052.796,4,0,1,3,2008,77,17,12
1056.513,5,0,1,3,2008,77,17,12
1075.452,6,0,1,3,2008,77,17,12
1106.6925,7,0,1,3,2008,77,17,12
1158.3765,8,0,1,3,2008,77,17,12
1210.857,9,0,1,3,2008,77,17,12
1234.3094999999998,10,0,1,3,2008,77,17,12
1216.6095,11,0,1,3,2008,77,17,12
1194.042,12,0,1,3,2008,77,17,12
1185.4575,13,0,1,3,2008,77,17,12
1161.474,14,0,1,3,2008,77,17,12
1141.0304999999998,15,0,1,3,2008,77,17,12
1123.5075,16,0,1,3,2008,77,17,12
1123.1535,17,0,1,3,2008,77,17,12
1134.039,18,0,1,3,2008,77,17,12
1180.236,19,0,1,3,2008,77,17,12
1276.6125,20,0,1,3,2008,77,17,12
1299.888,21,0,1,3,2008,77,17,12
1271.922,22,0,1,3,2008,77,17,12
1230.15,23,0,1,3,2008,77,17,12
1171.8284999999998,0,1,1,3,2008,78,18,12
1135.455,1,1,1,3,2008,78,18,12
1113.684,2,1,1,3,2008,78,18,12
1112.976,3,1,1,3,2008,78,18,12
1119.9675,4,1,1,3,2008,78,18,12
1145.367,5,1,1,3,2008,78,18,12
1222.6274999999998,6,1,1,3,2008,78,18,12
1372.5465,7,1,1,3,2008,78,18,12
1468.746,8,1,1,3,2008,78,18,12
1482.906,9,1,1,3,2008,78,18,12
1489.5435,10,1,1,3,2008,78,18,12
1486.269,11,1,1,3,2008,78,18,12
1480.5165,12,1,1,3,2008,78,18,12
1473.879,13,1,1,3,2008,78,18,12
1468.1265,14,1,1,3,2008,78,18,12
1452.108,15,1,1,3,2008,78,18,12
1437.771,16,1,1,3,2008,78,18,12
1440.6915,17,1,1,3,2008,78,18,12
1457.5065,18,1,1,3,2008,78,18,12
1481.9325,19,1,1,3,2008,78,18,12
1504.7655,20,1,1,3,2008,78,18,12
1477.773,21,1,1,3,2008,78,18,12
1426.1775,22,1,1,3,2008,78,18,12
1340.952,23,1,1,3,2008,78,18,12
1242.894,0,2,1,3,2008,79,19,12
1162.2705,1,2,1,3,2008,79,19,12
1122.7995,2,2,1,3,2008,79,19,12
1098.639,3,2,1,3,2008,79,19,12
1102.356,4,2,1,3,2008,79,19,12
1103.5065,5,2,1,3,2008,79,19,12
1164.9254999999998,6,2,1,3,2008,79,19,12
1290.2415,7,2,1,3,2008,79,19,12
1385.733,8,2,1,3,2008,79,19,12
1395.2025,9,2,1,3,2008,79,19,12
1394.8484999999998,10,2,1,3,2008,79,19,12
1406.8845,11,2,1,3,2008,79,19,12
1405.6455,12,2,1,3,2008,79,19,12
1399.8045,13,2,1,3,2008,79,19,12
1403.1675,14,2,1,3,2008,79,19,12
1379.9805,15,2,1,3,2008,79,19,12
1365.4661428354582,16,2,1,3,2008,79,19,12
1365.1125,17,2,1,3,2008,79,19,12
1358.829,18,2,1,3,2008,79,19,12
1380.246,19,2,1,3,2008,79,19,12
1430.2485,20,2,1,3,2008,79,19,12
1416.4425,21,2,1,3,2008,79,19,12
1382.547,22,2,1,3,2008,79,19,12
1299.6225,23,2,1,3,2008,79,19,12
1209.264,0,3,1,3,2008,80,20,12
1132.7115,1,3,1,3,2008,80,20,12
1090.4085,2,3,1,3,2008,80,20,12
1070.496,3,3,1,3,2008,80,20,12
1052.796,4,3,1,3,2008,80,20,12
1063.5045,5,3,1,3,2008,80,20,12
1123.3305,6,3,1,3,2008,80,20,12
1248.735,7,3,1,3,2008,80,20,12
1351.926,8,3,1,3,2008,80,20,12
1363.431,9,3,1,3,2008,80,20,12
1368.741,10,3,1,3,2008,80,20,12
1370.157,11,3,1,3,2008,80,20,12
1372.5465,12,3,1,3,2008,80,20,12
1371.4845,13,3,1,3,2008,80,20,12
1369.5375,14,3,1,3,2008,80,20,12
1371.927,15,3,1,3,2008,80,20,12
1350.864,16,3,1,3,2008,80,20,12
1350.9525,17,3,1,3,2008,80,20,12
1349.3595,18,3,1,3,2008,80,20,12
1377.237,19,3,1,3,2008,80,20,12
1422.726,20,3,1,3,2008,80,20,12
1408.566,21,3,1,3,2008,80,20,12
1364.316,22,3,1,3,2008,80,20,12
1284.2234999999998,23,3,1,3,2008,80,20,12
1182.8025,0,4,1,3,2008,81,21,12
1114.923,1,4,1,3,2008,81,21,12
1075.098,2,4,1,3,2008,81,21,12
1041.114,3,4,1,3,2008,81,21,12
1035.45,4,4,1,3,2008,81,21,12
1046.3355,5,4,1,3,2008,81,21,12
1114.923,6,4,1,3,2008,81,21,12
1251.3015,7,4,1,3,2008,81,21,12
1358.298,8,4,1,3,2008,81,21,12
1359.006,9,4,1,3,2008,81,21,12
1362.2804999999998,10,4,1,3,2008,81,21,12
1370.4225,11,4,1,3,2008,81,21,12
1373.7855,12,4,1,3,2008,81,21,12
1363.1654999999998,13,4,1,3,2008,81,21,12
1361.838,14,4,1,3,2008,81,21,12
1338.828,15,4,1,3,2008,81,21,12
1328.031,16,4,1,3,2008,81,21,12
1322.4555,17,4,1,3,2008,81,21,12
1326.438,18,4,1,3,2008,81,21,12
1357.59,19,4,1,3,2008,81,21,12
1409.0085,20,4,1,3,2008,81,21,12
1405.9109999999998,21,4,1,3,2008,81,21,12
1361.6609999999998,22,4,1,3,2008,81,21,12
1277.6745,23,4,1,3,2008,81,21,12
1189.971,0,5,1,3,2008,82,22,12
1117.4895,1,5,1,3,2008,82,22,12
1082.6205,2,5,1,3,2008,82,22,12
1059.2565,3,5,1,3,2008,82,22,12
1054.3005,4,5,1,3,2008,82,22,12
1075.3635,5,5,1,3,2008,82,22,12
1137.048,6,5,1,3,2008,82,22,12
1266.435,7,5,1,3,2008,82,22,12
1376.706,8,5,1,3,2008,82,22,12
1379.538,9,5,1,3,2008,82,22,12
1385.4675,10,5,1,3,2008,82,22,12
1384.0515,11,5,1,3,2008,82,22,12
1373.2545,12,5,1,3,2008,82,22,12
1363.254,13,5,1,3,2008,82,22,12
1351.3065,14,5,1,3,2008,82,22,12
1332.165172875545,15,5,1,3,2008,82,22,12
1312.278,16,5,1,3,2008,82,22,12
1300.5075,17,5,1,3,2008,82,22,12
1292.985,18,5,1,3,2008,82,22,12
1308.915,19,5,1,3,2008,82,22,12
1355.0235,20,5,1,3,2008,82,22,12
1333.341,21,5,1,3,2008,82,22,12
1305.8175,22,5,1,3,2008,82,22,12
1248.735,23,5,1,3,2008,82,22,12
1173.864,0,6,1,3,2008,83,23,12
1094.1255,1,6,1,3,2008,83,23,12
1058.46,2,6,1,3,2008,83,23,12
1026.6885,3,6,1,3,2008,83,23,12
1023.5025,4,6,1,3,2008,83,23,12
1026.6,5,6,1,3,2008,83,23,12
1048.6364999999998,6,6,1,3,2008,83,23,12
1099.6125,7,6,1,3,2008,83,23,12
1161.0315,8,6,1,3,2008,83,23,12
1207.848,9,6,1,3,2008,83,23,12
1252.983,10,6,1,3,2008,83,23,12
1271.6564999999998,11,6,1,3,2008,83,23,12
1259.6205,12,6,1,3,2008,83,23,12
1240.947,13,6,1,3,2008,83,23,12
1233.6015,14,6,1,3,2008,83,23,12
1209.3525,15,6,1,3,2008,83,23,12
1197.3165,16,6,1,3,2008,83,23,12
1202.2725,17,6,1,3,2008,83,23,12
1211.8305,18,6,1,3,2008,83,23,12
1235.637,19,6,1,3,2008,83,23,12
1269.444,20,6,1,3,2008,83,23,12
1262.1375276395781,21,6,1,3,2008,83,23,12
1222.539,22,6,1,3,2008,83,23,12
1170.501,23,6,1,3,2008,83,23,12
1096.2495,0,0,1,3,2008,84,24,13
1038.99,1,0,1,3,2008,84,24,13
991.9965,2,0,1,3,2008,84,24,13
963.057,3,0,1,3,2008,84,24,13
956.862,4,0,1,3,2008,84,24,13
959.8312571381354,5,0,1,3,2008,84,24,13
965.4465,6,0,1,3,2008,84,24,13
988.545,7,0,1,3,2008,84,24,13
1037.8395,8,0,1,3,2008,84,24,13
1079.4344999999998,9,0,1,3,2008,84,24,13
1111.8255,10,0,1,3,2008,84,24,13
1137.1364999999998,11,0,1,3,2008,84,24,13
1151.031,12,0,1,3,2008,84,24,13
1159.527,13,0,1,3,2008,84,24,13
1157.1375,14,0,1,3,2008,84,24,13
1145.8868294663214,15,0,1,3,2008,84,24,13
1132.623,16,0,1,3,2008,84,24,13
1134.57,17,0,1,3,2008,84,24,13
1152.624,18,0,1,3,2008,84,24,13
1183.1565,19,0,1,3,2008,84,24,13
1260.5939999999998,20,0,1,3,2008,84,24,13
1245.9915,21,0,1,3,2008,84,24,13
1212.273,22,0,1,3,2008,84,24,13
1169.3467944328252,23,0,1,3,2008,84,24,13
1107.489,0,1,1,3,2008,85,25,13
1060.6725,1,1,1,3,2008,85,25,13
1038.105,2,1,1,3,2008,85,25,13
1026.8655,3,1,1,3,2008,85,25,13
1038.4589999999998,4,1,1,3,2008,85,25,13
1053.327,5,1,1,3,2008,85,25,13
1123.6844999999998,6,1,1,3,2008,85,25,13
1270.4175,7,1,1,3,2008,85,25,13
1374.6705,8,1,1,3,2008,85,25,13
1383.8745,9,1,1,3,2008,85,25,13
1388.1225,10,1,1,3,2008,85,25,13
1392.1935,11,1,1,3,2008,85,25,13
1393.2555,12,1,1,3,2008,85,25,13
1385.733,13,1,1,3,2008,85,25,13
1385.91,14,1,1,3,2008,85,25,13
1376.7945,15,1,1,3,2008,85,25,13
1366.971,16,1,1,3,2008,85,25,13
1365.5549999999998,17,1,1,3,2008,85,25,13
1353.8729999999998,18,1,1,3,2008,85,25,13
1369.98,19,1,1,3,2008,85,25,13
1432.5495,20,1,1,3,2008,85,25,13
1414.8495,21,1,1,3,2008,85,25,13
1367.148,22,1,1,3,2008,85,25,13
1277.8515,23,1,1,3,2008,85,25,13
1187.7585,0,2,1,3,2008,86,26,13
1128.6405,1,2,1,3,2008,86,26,13
1087.3995,2,2,1,3,2008,86,26,13
1070.9385,3,2,1,3,2008,86,26,13
1065.0975,4,2,1,3,2008,86,26,13
1093.0635,5,2,1,3,2008,86,26,13
1155.633,6,2,1,3,2008,86,26,13
