campaign_id,sender,subject_len,body_len,mean_paragraph_len,day_of_week,is_weekend,times_of_day,category,product,no_of_CTA,mean_CTA_len,is_image,is_personalised,is_quote,is_emoticons,is_discount,is_urgency,target_audience,click_rate,re_category
21,0,78,10473,26,0,0,2,6,26,2,22,1,0,0,0,0,0,14,0.1981132075471698,6
22,0,57,7768,22,5,1,1,2,11,0,26,0,0,0,0,0,0,14,0.4052044609665427,2
23,0,70,8683,44,4,0,2,15,9,2,28,1,0,0,0,0,0,0,0.0012613419050331,15
24,0,69,9455,27,5,1,1,2,11,2,22,1,0,0,2,0,0,14,0.0169016373461179,2
25,0,78,10473,26,4,0,2,6,26,2,22,1,0,0,0,0,0,14,0.1897959183673469,6
26,0,93,9400,27,0,0,1,6,26,8,19,2,0,1,0,0,0,4,0.013718609655013,6
27,0,42,6802,46,3,0,2,6,10,3,15,0,0,0,0,0,0,14,0.0064820271066588,6
28,0,60,9206,51,2,0,1,2,11,6,41,0,0,1,0,0,0,10,0.0040348300772847,2
29,0,85,9840,22,3,0,2,6,26,5,31,0,0,0,0,0,0,11,0.003051172522012,6
30,0,80,11655,22,0,0,2,2,11,5,35,0,0,1,0,0,0,16,0.0061555788574313,2
31,0,104,9882,48,0,0,2,15,9,2,34,1,0,0,0,0,0,16,0.0057690010070149,15
32,0,86,13407,24,5,1,1,2,11,5,22,2,0,0,0,0,0,10,0.0664136622390891,2
33,0,124,11455,27,4,0,2,15,9,3,47,0,0,0,0,0,0,12,0.0067531196476633,15
34,0,80,11655,22,4,0,2,2,11,5,35,0,0,1,0,0,0,16,0.0060811082920542,2
35,0,81,9767,20,4,0,1,6,26,5,31,0,0,0,0,0,0,4,0.0100771778216808,6
36,0,76,11147,34,3,0,2,2,11,4,25,1,0,0,0,0,0,11,0.0063146110654375,2
37,0,76,11147,34,2,0,2,2,11,4,25,1,0,0,0,0,0,1,0.0066144605793355,2
38,0,80,12527,37,2,0,2,15,9,4,33,1,0,0,0,0,0,16,0.0039583715626392,15
39,0,77,12527,37,1,0,2,15,9,4,33,1,0,0,0,0,0,12,0.0058290443630322,15
40,0,81,9758,20,2,0,1,6,26,4,28,0,0,0,0,0,0,5,0.0082011491430535,6
41,0,76,11147,34,1,0,2,2,11,5,25,0,0,0,0,0,0,10,0.0055171460176991,2
42,0,88,9054,46,0,0,2,15,9,3,28,1,0,0,0,0,0,10,0.0069854803309133,15
43,0,73,10273,32,4,0,2,15,9,3,23,0,0,1,0,0,0,16,0.0034263398339637,15
44,0,65,11613,25,4,0,2,2,11,4,38,2,0,2,0,0,0,16,0.0048392565422433,2
45,0,87,14431,35,3,0,2,15,9,5,23,0,0,0,0,0,0,16,0.006365444728616,15
46,0,73,11486,42,2,0,1,2,11,4,27,2,0,1,0,0,0,7,0.0032971365086191,2
47,0,97,10492,39,1,0,2,15,9,3,25,1,0,2,0,0,0,0,0.0067423121197171,15
48,0,57,6916,50,1,0,1,6,10,3,24,2,0,0,0,0,0,14,0.0148629818857408,6
49,0,73,11486,42,1,0,1,2,11,4,27,2,0,1,0,0,0,10,0.0063157894736842,2
50,0,85,9717,30,4,0,2,15,9,2,23,0,0,0,2,0,0,16,0.0033720314080639,15
51,0,91,15400,18,3,0,2,15,9,6,26,1,0,0,0,0,0,16,0.0128162140009686,15
52,0,97,10492,39,2,0,2,15,9,3,25,1,0,2,0,0,0,10,0.0085343110914435,15
53,0,104,9183,32,1,0,2,15,9,3,27,0,0,0,0,0,0,10,0.0047360248447204,15
54,0,90,6759,41,1,0,2,1,5,0,22,2,0,0,0,0,0,10,0.0145383104125736,1
55,0,78,21927,13,0,0,2,15,13,9,28,2,0,0,0,0,1,12,0.0037417947785926,15
56,0,103,20312,17,5,1,1,15,13,5,24,1,0,1,0,0,1,12,0.004075319035012,15
57,0,85,9717,30,5,1,1,15,9,2,23,0,0,0,2,0,0,16,0.0,15
58,0,91,11179,32,4,0,2,15,9,2,25,1,0,1,1,0,0,16,0.0098698576294872,15
59,0,79,5805,88,4,0,2,15,12,3,20,1,0,0,0,0,0,2,0.0013711151736745,15
60,0,82,5690,86,4,0,2,15,6,3,23,0,0,1,0,0,0,2,0.0013454820130299,15
61,0,79,6810,45,4,0,1,1,5,0,23,2,0,0,0,0,0,10,0.0092911441751673,1
62,0,79,6812,44,4,0,1,1,5,0,23,2,0,0,0,0,0,3,0.009131747551366,1
63,0,80,5769,88,4,0,2,15,1,3,20,1,0,0,0,0,0,2,0.0017468051852532,15
64,0,67,5700,81,4,0,2,15,31,3,26,1,0,0,0,0,0,2,0.0044864997144954,15
65,0,92,16393,23,3,0,2,1,5,3,19,2,0,1,0,0,0,16,0.0013073845913357,1
66,0,92,16399,23,2,0,2,1,5,2,24,2,0,1,0,0,0,3,0.008838734782367,1
67,0,92,16399,23,2,0,2,1,5,2,24,2,0,1,0,0,0,10,0.0069826177388203,1
68,0,87,22813,18,2,0,2,15,13,11,29,2,0,1,1,0,0,15,0.0026506598600339,15
69,0,98,21569,20,1,0,2,15,13,11,29,2,0,0,1,1,0,16,0.0,15
70,0,25,1951,160,1,0,2,7,27,0,12,1,0,0,0,0,0,12,0.0671834625322997,0
71,0,74,9602,23,1,0,2,1,5,3,22,0,0,1,0,0,1,14,0.0352480417754569,1
72,0,100,10176,32,0,0,2,1,5,1,21,2,0,1,0,0,0,10,0.0112283549783549,1
73,0,98,21569,20,1,0,1,15,13,11,29,2,0,0,1,1,0,12,0.0047812402393022,15
74,1,90,20720,18,5,1,1,1,5,8,34,0,0,0,0,0,0,16,0.0034188034188034,1
75,0,87,11237,22,4,0,2,15,9,4,38,0,0,0,0,0,1,12,0.0061401123799166,15
76,0,90,11975,25,4,0,2,1,5,2,21,2,0,1,0,0,0,16,0.0016270177926017,1
77,0,92,19214,21,3,0,2,15,9,3,29,1,0,1,0,0,1,12,0.0014063062958357,15
78,0,88,12588,30,3,0,2,1,5,12,34,0,0,0,0,0,0,10,0.0020678896641795,1
79,0,94,13412,38,2,0,2,15,9,3,32,0,0,0,0,0,1,16,0.0062363460854544,15
80,0,116,10644,43,1,0,2,15,9,3,27,0,0,0,1,0,0,15,0.0037013801756587,15
81,0,63,9599,23,1,0,2,1,5,3,22,0,0,1,0,0,1,14,0.0527009222661396,1
82,0,83,7847,25,2,0,2,1,5,0,31,0,0,1,0,0,0,12,0.1921397379912664,1
83,0,110,10593,42,0,0,2,15,9,3,27,0,0,0,1,0,0,16,0.0053962525548818,15
84,0,83,15098,16,0,0,2,1,5,6,31,2,0,0,1,0,0,10,0.0046770444460097,1
85,0,40,1645,111,0,0,0,6,10,1,13,0,0,0,1,0,0,14,0.0316549819417888,6
86,0,68,9604,23,5,1,0,1,5,3,22,0,0,1,0,0,1,14,0.0498442367601246,1
87,0,88,12588,30,5,1,0,1,5,11,32,0,0,0,0,0,0,10,0.0105364695406989,1
88,0,88,12588,30,5,1,1,1,5,12,34,0,0,0,0,0,0,16,0.0035759582863585,1
89,0,85,8424,18,6,1,2,1,5,3,23,2,0,1,0,0,1,14,0.2134337727558066,1
90,0,83,7094,22,6,1,0,1,5,3,19,1,0,1,0,0,0,12,0.205111821086262,1
91,0,88,5727,30,5,1,1,1,5,3,22,2,0,0,0,0,0,12,0.1906040268456376,1
92,0,64,10849,26,3,0,2,1,5,4,21,1,0,1,0,0,0,1,0.0024472891566265,1
93,0,94,15119,24,3,0,2,1,5,8,29,1,0,1,0,0,0,10,0.0033817207202345,1
94,0,90,13392,24,3,0,2,1,5,2,21,2,0,1,0,0,0,10,0.0068420322685035,1
95,0,80,18718,11,3,0,2,15,13,9,33,1,0,1,1,0,1,12,0.0036256798149653,15
96,0,86,19046,16,2,0,2,1,5,5,19,1,0,1,0,0,0,16,0.0013888656481651,1
97,0,84,1703,112,2,0,1,6,10,1,55,2,0,0,0,0,0,12,0.0303030303030303,6
98,0,71,9603,23,2,0,2,1,5,3,22,0,0,1,0,0,0,14,0.0418848167539267,1
99,0,86,19052,16,1,0,2,1,5,4,21,1,0,1,0,0,0,10,0.0062335958005249,1
100,0,86,19046,16,1,0,2,1,5,5,19,1,0,1,0,0,0,16,0.002039013117651,1
101,0,86,19046,16,0,0,2,1,5,5,19,1,0,1,0,0,0,8,0.0030514776588242,1
102,0,74,17217,18,5,1,1,1,5,4,24,1,0,1,0,0,0,10,0.0081464122307778,1
103,0,77,15687,18,5,1,1,1,5,9,25,1,0,0,0,0,0,16,0.0024422624117028,1
104,0,91,11179,32,4,0,2,15,9,2,25,1,0,1,1,0,0,10,0.0074531174867767,15
105,0,77,15687,18,4,0,2,1,5,9,25,1,0,0,0,0,0,16,0.0045665159381454,1
106,0,62,9603,23,3,0,2,1,5,3,22,0,0,1,0,0,1,14,0.0553435114503816,1
107,0,90,11282,38,1,0,2,15,9,3,25,1,0,1,2,0,0,15,0.0087452753279478,15
108,0,84,12519,27,1,0,2,15,6,5,33,0,0,0,0,0,1,12,0.0050766846577245,15
109,0,77,15687,18,3,0,2,1,5,9,20,1,0,0,0,0,0,7,0.0029866479269149,1
110,0,74,17353,15,1,0,1,10,42,7,30,0,0,0,2,0,0,8,0.0045904001921562,10
111,0,80,7775,22,1,0,2,10,42,0,31,0,0,1,0,0,0,14,0.1631799163179916,10
112,0,80,17347,15,0,0,2,1,5,7,30,0,0,0,1,0,0,7,0.0048997234676618,1
113,0,75,11938,30,6,1,2,15,12,3,26,0,0,1,0,0,0,12,0.0023578333654856,15
114,0,118,17996,22,6,1,2,10,42,4,30,2,0,0,1,0,0,16,0.0011887825697191,10
115,0,94,12274,18,6,1,1,15,6,4,24,1,0,0,0,0,1,12,0.0044800047946539,15
116,0,60,10492,39,2,0,2,15,9,3,25,1,0,2,0,0,0,16,0.0032822555365012,15
117,0,96,10229,34,3,0,1,1,5,2,18,1,0,2,0,0,0,10,0.0049855503540585,1
118,0,69,9642,24,3,0,1,1,5,3,22,0,0,1,0,0,0,14,0.0449735449735449,1
119,0,69,9642,24,1,0,2,1,5,3,22,0,0,1,0,0,0,14,0.0380952380952381,1
120,0,72,7325,66,1,0,2,15,9,2,30,1,0,0,0,0,0,16,0.0029775628779594,15
121,0,61,13868,25,1,0,2,15,1,4,29,2,0,0,1,0,1,16,0.0089316151905638,15
122,0,84,10766,34,1,0,1,1,5,2,28,1,0,2,0,0,0,10,0.0138739016494527,1
123,0,84,12755,32,2,0,2,1,5,4,32,1,0,2,0,0,0,11,0.0034875665862456,1
124,0,88,13661,34,0,0,2,15,1,3,33,0,0,1,3,0,0,12,0.0064715686421718,15
125,0,84,12755,32,0,0,2,1,5,4,32,1,0,2,0,0,0,8,0.0101945369893535,1
126,0,61,9642,24,5,1,0,1,5,3,22,0,0,1,0,0,1,14,0.0854092526690391,1
127,0,94,15119,24,5,1,1,1,5,8,29,1,0,1,0,0,0,16,0.0048882434203535,1
128,0,63,8302,39,4,0,2,15,31,3,27,1,0,1,0,0,0,5,0.0025136906365023,15
129,0,97,20850,16,4,0,1,1,5,7,35,2,0,1,0,0,0,16,0.0030372756557754,1
130,0,82,9816,23,2,0,2,15,9,4,38,1,0,0,0,0,0,12,0.0025426807119505,15
131,0,124,13821,34,2,0,2,15,9,4,31,1,0,0,1,0,1,16,0.0143961380420102,15
132,0,97,20850,16,1,0,2,1,5,7,35,2,0,1,0,0,0,7,0.0052844725404978,1
133,0,83,9821,23,1,0,2,15,9,4,38,1,0,0,0,0,0,12,0.0063630959921265,15
134,0,79,10474,26,1,0,1,10,42,4,39,0,0,2,0,0,0,12,0.0789115646258503,10
135,0,92,12347,33,0,0,2,15,9,4,29,0,0,1,0,0,0,16,0.0032091322735556,15
136,0,67,11438,13,6,1,2,6,26,3,40,0,0,1,0,0,0,14,0.0303421562298256,6
137,0,102,13399,37,5,1,2,15,9,3,32,0,0,0,0,0,0,16,0.0109693447869294,15
138,0,91,10683,89,5,1,2,6,26,7,50,1,0,1,0,0,0,12,0.0358247842370949,6
139,0,53,9526,21,5,1,2,1,5,4,21,0,0,1,0,0,0,12,0.0672268907563025,1
140,0,124,10332,81,4,0,2,6,26,6,51,0,0,1,0,0,0,14,0.025943396226415,6
141,0,121,10777,49,4,0,2,15,9,3,27,1,0,0,1,0,0,16,0.0031356608840821,15
142,0,84,15302,18,4,0,1,10,42,5,36,1,0,2,2,0,0,12,0.002556735812752,10
143,0,81,7806,24,4,0,2,10,42,0,31,1,0,2,0,0,0,12,0.2049689440993788,10
144,0,95,6492,36,4,0,2,10,42,2,41,1,0,2,0,0,0,14,0.0101386735933637,10
145,0,85,9731,28,3,0,2,15,6,4,18,2,1,0,0,0,0,10,0.0119220703692934,15
146,0,73,11206,34,3,0,2,1,5,4,34,1,0,1,0,0,0,12,0.002310524311286,1
147,0,92,15144,16,3,0,1,10,42,5,21,0,0,1,1,0,0,12,0.0017811569544874,10
148,0,96,10007,69,2,0,2,6,26,6,52,1,0,1,0,0,1,14,0.0351542305703946,6
149,0,69,8237,47,2,0,2,2,11,0,23,2,0,0,0,0,0,3,0.0134900142277493,2
150,0,89,9231,51,2,0,2,15,9,3,27,0,0,0,0,0,0,16,0.0038899910530205,15
151,0,90,1663,115,2,0,1,2,11,0,22,1,0,1,0,0,0,12,0.1513157894736842,2
152,0,92,4774,49,2,0,2,2,11,2,28,1,0,1,0,0,0,14,0.071041948579161,2
153,0,69,8237,47,2,0,2,2,11,0,23,2,0,0,0,0,0,10,0.013641425389755,2
154,0,88,9726,36,1,0,2,15,6,2,33,0,0,0,0,0,0,12,0.0048740463156863,15
155,0,77,9376,46,1,0,2,6,26,7,61,1,0,1,0,0,0,14,0.0955369595536959,6
156,0,68,10507,27,2,0,1,10,42,3,39,1,0,2,0,0,0,12,0.0898876404494382,10
157,0,71,9752,40,1,0,2,2,11,3,29,2,0,1,0,0,0,16,0.0014216303761022,2
158,0,81,15144,16,2,0,2,10,42,5,21,0,0,1,1,0,0,12,0.0024907882006628,10
159,0,71,9752,40,1,0,0,2,11,3,29,2,0,1,0,0,0,16,0.0083819241982507,2
160,0,87,11837,32,0,0,2,15,6,2,30,1,0,0,0,0,0,12,0.0038098670407887,15
161,0,77,8225,46,0,0,2,2,11,3,26,2,0,1,0,0,0,16,0.0021747755425918,2
162,0,72,4966,59,5,1,0,2,11,2,28,1,0,2,0,0,1,14,0.0515350877192982,2
163,0,94,22015,17,5,1,0,2,11,4,27,1,0,1,0,0,0,16,0.0027418498155352,2
164,0,95,13017,27,4,0,2,15,9,2,25,1,0,1,1,0,0,15,0.0020382907476159,15
165,0,73,14713,26,4,0,2,15,6,3,27,1,0,1,0,0,1,12,0.0020615547406637,15
166,0,94,22015,17,4,0,2,2,11,4,27,1,0,1,0,0,0,10,0.0112517580872011,2
167,0,86,15027,16,4,0,2,6,26,5,42,1,0,1,0,0,1,16,0.005948200490189,6
168,0,75,11089,39,3,0,2,6,26,2,32,2,0,0,0,0,0,14,0.0907606921318968,6
169,0,95,12254,20,3,0,2,6,26,5,42,1,0,1,0,0,0,12,0.0050296147633266,6
170,0,87,12505,39,3,0,2,15,9,4,21,0,0,0,0,0,0,16,0.0066613412041863,15
171,0,106,12542,37,3,0,1,6,26,4,47,2,0,0,0,0,0,14,0.2326530612244897,6
172,0,71,1655,112,3,0,1,2,11,0,22,1,0,1,0,0,0,12,0.125,2
173,0,77,10105,39,3,0,2,2,11,2,23,2,0,0,0,0,0,16,0.0053465175773951,2
174,0,113,12598,28,2,0,2,6,26,5,42,0,0,1,0,0,0,12,0.0040309952214016,6
175,0,85,6555,39,2,0,2,10,42,1,21,1,0,1,0,0,0,14,0.0091459314055144,10
176,0,88,7783,23,2,0,2,10,42,0,31,0,0,1,0,0,0,12,0.1671469740634005,10
177,0,97,12658,29,1,0,2,6,26,5,42,1,0,1,0,0,0,12,0.0030856073235646,6
178,0,72,4966,59,1,0,2,2,11,2,28,1,0,2,0,0,1,14,0.0286697247706422,2
179,0,67,10818,31,1,0,2,1,5,3,33,0,0,0,0,0,0,11,0.0022742438479661,1
180,0,80,15288,19,1,0,2,10,42,6,30,0,0,2,1,0,0,12,0.0045627844053621,10
181,0,77,10105,39,1,0,2,2,11,0,15,2,0,0,0,0,0,10,0.0183992640294388,2
182,0,102,12658,29,0,0,2,6,26,5,42,1,0,1,0,0,0,5,0.0045000207374227,6
183,0,80,15288,19,0,0,2,10,42,6,30,0,0,2,1,0,0,12,0.0067411375496587,10
184,0,63,4966,59,5,1,1,2,11,2,28,1,0,2,0,0,0,14,0.0845665961945031,2
185,0,93,8488,55,5,1,1,2,11,2,39,2,0,1,0,0,1,10,0.021703337823679,2
186,0,93,8488,55,5,1,1,2,11,3,36,2,0,1,0,0,1,16,0.0089228967012698,2
187,0,67,10818,31,4,0,2,1,5,3,33,0,0,0,0,0,0,7,0.0027264106211474,1
188,0,93,8488,55,4,0,2,2,11,4,36,2,0,1,0,0,1,16,0.0057642918291638,2
189,0,104,15582,23,3,0,2,6,26,5,30,2,0,1,0,0,0,12,0.0039240846289278,6
190,0,67,9202,36,3,0,2,15,9,3,27,2,0,1,0,0,0,10,0.0008829081166656,15
191,0,91,11999,19,3,0,2,15,9,4,21,0,0,0,0,0,0,16,0.019326529606074,15
192,0,94,14346,34,3,0,2,2,11,2,24,2,0,0,0,0,0,10,0.0222944728286112,2
193,0,90,17317,40,2,0,2,15,9,3,34,0,0,0,0,0,0,16,0.0037158363076321,15
194,0,98,15851,24,2,0,2,6,26,10,20,2,0,1,0,0,0,12,0.0066376449290978,6
195,0,83,1686,116,2,0,2,2,11,0,22,1,0,1,0,0,1,12,0.0840336134453781,2
196,0,93,14350,34,2,0,2,2,11,3,27,2,0,0,0,0,0,16,0.0032884116373898,2
197,0,42,7188,62,2,0,1,6,10,2,24,2,0,0,0,0,0,14,0.0155555555555555,6
198,0,99,15916,25,1,0,2,6,26,10,22,1,0,1,0,0,0,8,0.0086283374044502,6
199,0,79,4966,59,1,0,2,2,11,2,28,1,0,2,0,0,1,14,0.0647249190938511,2
200,0,99,14976,26,1,0,2,2,11,5,23,2,0,1,0,0,0,16,0.006021748188771,2
201,0,94,17918,22,1,0,2,2,11,2,25,2,0,1,0,0,0,10,0.0185032215430365,2
202,0,67,9202,36,1,0,2,15,9,3,27,2,0,1,0,0,0,12,0.0069484885383027,15
203,0,99,14976,26,0,0,2,2,11,5,23,2,0,1,0,0,0,16,0.0042967869054825,2
204,0,125,13438,8,6,1,2,6,26,4,23,6,0,0,0,0,0,12,0.0087191559857005,6
205,0,73,4938,57,5,1,0,2,11,2,28,0,0,2,0,0,0,14,0.0769230769230769,2
206,0,77,23961,15,5,1,0,2,11,5,26,1,0,1,1,0,0,10,0.010164569215876,2
207,0,77,23956,15,5,1,1,2,11,10,21,1,0,1,1,0,0,16,0.0030546009927453,2
208,0,91,11999,19,4,0,2,15,9,4,21,0,0,0,0,0,0,10,0.0072980344211417,15
209,0,118,15906,24,4,0,2,6,26,10,22,1,0,1,0,0,0,16,0.0057208990359956,6
210,0,68,19555,22,5,1,1,1,5,7,35,2,0,0,0,0,0,5,0.0024084954202094,1
211,0,42,7212,66,4,0,0,6,10,2,25,2,0,0,0,0,0,14,0.0308454971082346,6
212,0,103,13444,8,3,0,2,6,26,4,23,6,0,0,0,0,0,4,0.0016268429079816,6
213,0,91,13017,27,3,0,2,15,9,2,25,1,0,1,1,0,0,15,0.0037147321560187,15
214,0,83,1686,116,3,0,2,2,11,0,22,1,0,1,0,0,1,12,0.1239669421487603,2
215,0,68,19544,21,3,0,2,1,5,7,31,2,0,0,0,0,0,8,0.0019348054679284,1
216,0,68,19555,22,2,0,2,1,5,7,35,2,0,0,0,0,0,5,0.002563236202216,1
217,0,88,9147,36,2,0,2,2,11,2,34,1,0,1,2,0,0,10,0.007405693126591,2
218,0,88,10641,32,2,0,2,2,11,4,29,1,0,1,2,0,0,16,0.0044249007498897,2
219,0,79,4938,57,2,0,2,2,11,2,28,0,0,2,0,0,1,14,0.0329218106995884,2
220,0,115,13440,8,2,0,1,6,26,4,19,6,0,0,0,0,0,2,0.0203656657365374,6
221,0,82,9147,36,1,0,2,2,11,2,34,1,0,1,2,0,0,10,0.0199532626280783,2
222,0,91,9418,24,1,0,2,10,42,0,30,1,0,1,0,0,0,12,0.2383879781420765,10
223,0,94,9656,29,1,0,2,10,42,1,31,1,0,1,2,0,0,14,0.1656891495601173,10
224,0,82,10641,32,1,0,2,2,11,4,29,1,0,1,2,0,0,16,0.0044021341795386,2
225,0,98,12091,28,1,0,1,10,42,5,38,2,0,0,0,0,0,12,0.0060561958639468,10
226,0,78,9631,34,0,0,2,1,5,3,44,0,0,1,0,0,0,8,0.0036009534919105,1
227,0,88,14935,21,5,1,1,2,11,9,27,1,0,1,0,0,0,16,0.0101601636915261,2
228,0,73,4943,58,5,1,1,2,11,2,28,0,0,2,0,0,1,14,0.0997732426303854,2
229,0,65,11496,31,4,0,2,15,9,3,35,2,0,0,1,0,0,16,0.0086695112490302,15
230,0,85,12081,28,0,0,2,10,42,5,38,2,0,0,1,0,0,12,0.0036613701973854,10
231,0,82,10467,40,4,0,1,1,5,4,19,0,0,1,0,0,0,8,0.0014386962110402,1
232,0,54,1576,87,3,0,2,9,34,0,0,0,1,3,0,0,0,6,0.0,9
233,0,71,12934,19,3,0,2,2,11,1,16,1,0,1,0,0,0,10,0.0102223358037311,2
234,0,52,13583,28,3,0,2,15,9,3,35,1,0,1,0,0,0,16,0.0080970850493822,15
235,0,71,12934,19,3,0,2,2,11,2,23,1,0,1,0,0,0,15,0.0041780114543235,2
236,0,85,12081,28,3,0,2,10,42,5,38,2,0,0,1,0,0,12,0.0059444008802772,10
237,0,74,6950,51,2,0,2,15,9,3,43,2,0,0,1,0,0,12,0.0031814353887901,15
238,0,82,10467,40,2,0,2,1,5,4,19,0,0,1,0,0,0,10,0.0032091706606126,1
239,0,65,12934,19,2,0,2,2,11,1,16,1,0,1,0,0,0,10,0.0175370977066872,2
240,0,73,4901,55,1,0,2,2,11,2,17,0,0,2,0,0,0,14,0.1028708133971291,2
241,0,69,8332,41,0,0,2,2,11,1,20,1,0,0,0,0,0,14,0.3370786516853932,2
242,0,88,12099,18,5,1,1,15,31,4,39,1,0,0,0,0,1,12,0.0022905759162303,15
243,0,77,12088,39,5,1,1,2,11,3,22,0,0,2,0,0,0,16,0.0057197756775476,2
244,0,84,4943,58,5,1,0,2,11,2,28,0,0,2,0,0,0,14,0.1132075471698113,2
245,0,77,10611,45,5,1,1,2,11,1,23,0,0,2,0,0,0,10,0.0246618933969769,2
246,0,69,8332,41,5,1,0,2,11,1,20,1,0,0,0,0,0,14,0.3710407239819005,2
247,0,80,18623,19,4,0,2,15,12,7,22,2,0,0,0,0,0,12,0.0030306562536426,15
248,0,71,8698,48,5,1,1,6,26,2,40,1,0,1,0,0,0,14,0.1591635916359163,6
249,0,77,12088,39,4,0,2,2,11,3,22,0,0,2,0,0,0,16,0.0052192301635508,2
250,0,81,17044,27,4,0,2,2,11,5,34,1,0,1,0,0,0,3,0.0300829875518672,2
251,0,78,8818,24,4,0,1,6,26,3,35,1,0,2,0,0,0,13,0.0405529456234137,6
252,0,78,14517,32,3,0,2,15,31,3,30,1,0,2,3,0,0,5,0.0,15
253,0,69,8332,41,4,0,1,2,11,1,20,1,0,0,0,0,0,14,0.3228346456692913,2
254,0,90,10809,47,3,0,2,2,11,6,27,0,0,1,0,0,0,15,0.002724097041951,2
255,0,77,9020,29,3,0,2,6,26,2,30,2,0,0,0,0,0,14,0.2132902443950717,6
256,0,107,15032,16,3,0,1,6,26,5,41,1,0,1,0,0,0,5,0.0194930503038047,6
257,0,82,9342,55,3,0,1,2,11,1,36,2,0,1,0,0,0,10,0.0181947069943289,2
258,0,82,9557,63,2,0,2,2,11,5,31,0,0,1,0,0,0,1,0.0057880742166267,2
259,0,87,12271,42,1,0,2,15,31,3,32,2,0,0,0,0,0,5,0.0040444059262927,15
260,0,68,10208,33,1,0,2,15,12,4,30,1,0,0,0,0,0,12,0.0022561610551891,15
261,0,78,10405,25,1,0,2,6,26,0,28,0,0,0,0,0,0,14,0.2519230769230769,6
262,0,111,15991,26,1,0,2,6,26,11,19,2,0,1,0,0,0,5,0.0080688959577934,6
263,0,115,15991,26,1,0,1,6,26,11,19,2,0,1,0,0,0,4,0.0096920278798383,6
264,0,64,2348,50,1,0,0,2,11,1,19,2,0,1,0,0,0,12,0.6925207756232687,2
265,0,81,17044,27,0,0,2,2,11,5,34,1,0,1,0,0,0,10,0.0668278742580786,2
266,0,93,10405,25,0,0,2,6,26,0,28,0,0,0,0,0,0,14,0.1992281717317896,6
267,0,115,15957,26,0,0,2,6,26,11,19,2,0,1,0,0,0,8,0.0234104902703236,6
268,0,95,12232,21,5,1,2,15,6,4,32,0,0,0,0,0,1,12,0.002251958224543,15
269,0,86,12266,22,5,1,2,15,1,4,35,0,0,0,0,0,1,12,0.0054845126456379,15
270,0,89,8477,21,6,1,2,2,11,3,33,0,0,1,0,0,1,14,0.1672609400324149,2
271,0,87,9687,54,4,0,2,15,9,2,30,1,0,1,2,0,0,16,0.0055663340724316,15
272,0,98,15906,25,4,0,2,6,26,11,21,2,0,1,0,0,0,15,0.0185800664717895,6
273,0,93,10909,27,4,0,2,2,11,4,23,2,0,2,0,0,0,12,0.0222772277227722,2
274,0,109,5766,33,4,0,2,2,11,3,25,0,0,0,0,0,0,14,0.2792792792792793,2
275,0,81,11111,57,4,0,1,2,11,4,35,2,0,1,0,0,0,16,0.008157285128794,2
276,0,79,11062,31,3,0,2,2,11,4,28,2,0,2,0,0,0,11,0.0051438601846905,2
